GND,Biographie
116089075,"* am 13. (25. n. St.) Dezbr. 1821 zu Schrunden in Kurland, wo sein Vater Pastor u. Propst der Goldingenschen Diözese war, besuchte das Gymnasium in Mitau, studierte von 1849–52 auf der Universität Dorpat historische Wissenschaften und privatisiert seitdem als Lehrer. Ietzt lebt er seit längerer Zeit zu Schlock bei Riga in Livland. Gedichte, 1849. – Gedichte, 1854, 1870. – Neue Gedichte, 1876."
118071750,"Bruder des vorigen, wurde am 27. Iuli 1831 zu Schrunden in Kurland geboren, besuchte die Gymnasien zu Mitau u. Libau u. studierte seit 1852 in Dorpat Medizin. Nachdem er 1858 zum Doktor promoviert, praktizierte er als Arzt in Kurland und in den Bergwerken des Ural, besuchte von 1860–62 verschiedene Universitäten Deutschlands, war dann wieder Privatarzt in Kurland u. trat 1865 als Marinearzt in die russische Flotte. Als solcher bereiste er das Amurgebiet, China, Iapan, Südamerika, die Küstenländer u. Inseln Afrikas, besuchte von 1873–75 abermals verschiedene Universitäten Deutschlands und Österreichs, wurde 1877 Arzt am Marinespital in Kronstadt und 1881 Marinearzt und Wirkl. Staatsrat in Petersburg. Gegenwärtig (1895) lebt er als Wirkl. Staatsrat und Ordinator am Militär-Marine-Hospital in Kronstadt. Gedichte, 1859. – Nordische Melodien (Ge.), 1883."
116132914,"pseud. 1857 zu Doblen in Kurland geboren. Der frühe Tod seines Vaters zwang ihn, schon mit 14 Iahren als Lehrling in eine Apotheke einzutreten. Nach vollbrachter freudloser Lehrlingszeit konditionierte er als Gehilfe in Riga und Petersburg und bezog 1880 die Universität Dorpat, an der er neben seinem Fachstudium besonders Philosophie unter Gustav Teichmüller betrieb. Dann ließ er sich als Apotheker in Smilten, Livland, nieder, wo er noch jetzt in angenehmen Verhältnissen lebt. Wiederholte Reisen nach Deutschland, Schweden, Italien u. Sizilien sind für seine geistige Entwicklung ungemein fördernd gewesen. Mainachtgeister (N.), 1886. – Frau Caritas (N.), 1906. – Wend-Unmut (Ein Büchlein für alte u. junge Grillenfänger), 1908. – Die klingende Seele, 1912."
1032960728,"geb. am 11. April 1877 in Riga (Livland) als Sohn des heit meist auf einem Landgute und lernte hier in stetem Verkehr mit der Natur die wirklichen Dinge mehr lieben als die ausgedachten. Den Unterricht empfing er vorwiegend durch Hauslehrer und durch seinen Vater, der ihn schon mit fünf Iahren in die Elemente der Physik einführte. Im Alter von 16 Iahren kam er nach Deutschland, wo er seine Schulbildung erhielt, ging nach Abschluß derselben nach Freiburg i. B., um Mathematik zu studieren (1896), lebte aber in dieser Zeit mehr seiner Neigung zu Reisen und Wanderungen. In Berlin, wo er seine Studien fortsetzte und sich besonders den Naturwissenschaften widmete, brachte er erstere durch Promotion zum aus der Chemie (1902) zum Abschluß. In den folgenden vier Iahren noch ohne festen Lebensplan, war er als Schriftsteller auf verschiedenen Gebieten tätig, und lebt er seit 1906 als Mitinhaber der Verlagsbuchhandlung R. Piper & Co. in München, in deren Verlage er die „Klassischen Illustratoren“ herausgibt. Für diese Sammlung schrieb er „Francisco Goya“ (1906) u. „Honoré Daumier“ (1908). Der Morgenreiter (Ge.), 1905."
116226099,"als Iugendschriftstellerin unter dem Namen am 28. November 1840 zu Mitau in Kurland als die Tochter des Oberhofgerichts-Advokaten Karl mann deten und allgemein geachteten Vater verdankt die Tochter zum größten Teil ihre literarische, historische und sprachliche Bildung. Im Elternhause verlebte sie im Kreise zahlreicher Geschwister, Verwandten und Freunde eine glückliche Kindheit. Als erwachsenes Mädchen lernte sie auf einigen größeren Reisen Deutschland, die Schweiz u. Oberitalien kennen. Während eines Sommeraufenthaltes am Rigaischen Strande machte sie die Bekanntschaft des Dorpater Professors der Pathologie und Anatomie, sich im Iahre 1863 mit ihm. Glückliche Iahre der Ehe, die durch fünf Kinder gesegnet ward, folgten dieser Verbindung, bis der Gatte 1877 an einem Rückenmarksleiden schwer erkrankte. Der Gebrauch der Bäder von Öynhausen und Gastein brachte wohl Linderung, aber keine Heilung des Übels, und nach schweren Leiden verschied der Gatte 1889. Die Witwe lebt noch jetzt in Dorpat. Während des Krankenlagers des Gatten begann Mathilde v. B. ihre schriftstellerische Tätigkeit, zunächst für die Iugend („Kleine Schelme“, 1884. – „Im Morgensonnenschein“, 1887), dann aber auch auf dem Gebiet der Novelle. Lustige Geschichten a. d. Familienleben der baltischen Lande, 1884. – Renata (N.), 1885."
1037718372,"geb. am 30. April 1864 in Gumbinnen, lebt (1899) in Charlottenburg. Das Korps „Schlamponia“ (Studentengesch. in Reimen), 1899. – Die Spiritisten (Lustige Geschn. a. d. 4. Dimension), 1900."
116828781,"wurde am 10. Febr. (22. Febr. n. St.) 1816 auf dem Gute Strandhof in Estland geboren, besuchte die Domschule in Reval, studierte von 1835–38 in Dorpat Kameralia und gab hier seine ersten Gedichte heraus. Zwei Iahre später unternahm er eine Reise nach Deutschland. Während seines Aufenthaltes in Berlin wurde B. Mitglied der literarischen Sonntags-Gesellschaft, welche M. G. Saphir unter dem Namen „Tunnel über der Spree“ gestiftet hatte, und die sehr anregend auf B.s schriftstellerische Tätigkeit einwirkte. Familienangelegenheiten riefen ihn 1843 in die Heimat zurück. Er ließ sich in Reval nieder, wo er während des Winters von 1844 auf 1845 eine längere Reihe von Vorlesungen über die neueste deutsche Dichtung vor einem zahlreichen Auditorium hielt. Später nahm er eine Anstellung bei dem Zivilgouverneur von Estland an u. im Iahre 1850 wurde er zum Sekretär der estländischen Ritterschaft zu Reval ernannt; er starb am 4. März 1858 auf seinem Gute Wannamois. Erste Lieder, 1838. 2. Ausg. u. d. T.: Gedichte, 1842. – Der Novize (G. von Lermontoff, übers.), 1842. – Aus dem Kaukasus (Nach Lermontoffschen Skizzen), 1843."
unidentified001,"*Buss, Frau Aurelie, geb. Kumming, Ps. Aurelie Kumming, Berlin N., Friedrichstrasse 109, ist in Mitau den 25. März 1855 geboren und schreibt Novellen (Russica)."
1050422937,"geb. am 3. Ian. 1871 in Riga, besuchte das Gymnasium in Goldingen in Kurland, dessen Direktor sein Vater geworden war, u. studierte darauf in Dorpat, Marburg, Leipzig und zum Schluß wieder in Dorpat historische Wissenschaften. In Dorpat legte er auch sein Staatsexamen ab u. in Petersburg bestand er sein Examen als Lehrer der deutschen Sprache. Nachdem er dann in Dünaburg seiner Wehrpflicht genügt hatte, wurde er auf ein Iahr Hilfslehrer an der Petrikirchenschule in Petersburg u. ging dann zur Iournalistik über. Er war als Mitarbeiter der „Dünazeitung“ in Riga und als Mitredakteur des „Beobachters“ in Reval tätig und ist jetzt Redakteur der „Dünazeitung“ in Riga. Gedichte, 1898."
1227439849," * 1833 in Dorpat, kam in seinem dritten Lebensjahre nach Kasan, wohin sein Vater als Professor des römischen Rechts für die dortige Universität versetzt worden war. In Kasan empfing der Sohn seine Bildung; er widmete sich naturwissenschaftlichen, historischen und besonders philologischen Studien, starb aber schon 1854, kurz vor Abschluß derselben. Poetischer Nachlaß (hrsg. v. s. Vater), 1854."
116524685,"wurde am 7. Oktbr. 1842 in Lemberg als der Sohn eines Advokaten geboren u. sollte sich dem Studium der Medizin widmen. Mit dem 12. Iahre kam er deshalb nach Wien, doch wünschten später seine Eltern, daß er zum Handelsstande überginge. Mit Widerwillen fügte sich C., faßte aber schließlich nach mehrjährigen Kämpfen den Entschluß, dem kaufmännischen Leben für immer Valet zu sagen und Schauspieler zu werden. Unter dem angenommenen Namen Burgtheater in Wien, dessen Direktor Laube ihn tatkräftig unterstützte. Nachdem er dann in Graz, Linz, Innsbruck u. am Hoftheater in Berlin mit Glück aufgetreten war, folgte er einem ehrenvollen Rufe Laubes an das Stadttheater in Leipzig, wo er fünf Iahre tätig war, u. ging dann nach Weimar als Regisseur ans Hoftheater. Hier blieb er zwei Iahre (bis 1872), wurde dann Oberregisseur des Landestheaters in Prag u. übernahm am 1. März 1876 selbständig die Direktion des Berliner Residenztheaters, das er bald zu einer Konversationsbühne gestaltete, welche durch hervorragende Pflege der zeitgenösischen dramatischen Literatur, durch die realistische Inszenierung u. das fein abgestimmte Zusammenspiel der Mittelpunkt des intelligenteren und kunstliebenden Publikums wurde. Bald war sein Name als geistu. geschmackvoller, literarisch gebildeter Direktor weithin bekannt, und so berief man ihn schon am 1. Iuli 1879 zur Leitung des Stadttheaters nach Frankfurt a. M., wo man ihm dann auch die Direktion des neuen, im Oktober 1880 eröffneten Operntheaters übertrug. Erst nach zwanzigjähriger erfolgreicher Tätigkeit, im Herbst 1900, trat C. bei der Teilung der Intendanz von der Leitung der Oper zurück, um sich ausschließlich der Pflege des Schauspiels zu widmen. Er war seit 1871 mit der berühmten Schauspielerin Hermine Delia verheiratet, die ihm am 22. November 1908 durch den Tod entrissen wurde. Gedichte, 1868. – Der Friede (Festsp.), 1871. – Die Heimkehr (Festsp.), 1871. – Simson und Delila (Lsp.), 1873. – Shelley (Tr.), 1876. – Gedichte, 1885. – Auf den Knien (Lsp.), 1886. – Die Schwestern (Schsp.), 1892. – Neue Gedichte, 1894. – Königsleid (Dr.), 1895. – Weltliche Legenden (Ge.), 1898. – Vom Baume der Erkenntnis (Ge.), 1909."
132734405X,"* am 27. März 1823 zu Iakobstadt in Kurland, studierte von 1840–43 in Dorpat Theologie und wurde 1849 Prediger zu Sickeln in Kurland. Gedichte, 1850."
1055113177,"wurde am 16. Iuni (4. Iuni a. St.) 1814 in dem Pastorat Sellgallen in Kurland geboren, empfing ihre Erziehung im Elternhause zusammen mit ihren Brüdern u. widmete sich dann dem Lehrfach. Zuletzt war sie Vorsteherin einer Töchterschule. Erst im vorgerückteren Alter, nachdem wiederholte Reisen durch Deutschland nicht unwesentlich auf ihre geistige Entwicklung eingewirkt hatten, trat sie mit ihren gediegenen schriftstellerischen Arbeiten hervor. Sie lebte zuletzt in Mitau. Lebensbilder a. d. baltischen Heimat, 1861. – Georg Stein, oder: Deutsche u. Letten (E.), 1864. – Kleine Schriften für das Haus, 1872. – An der Ostsee, 1888."
118522310,"pseudon. von der Weiden, gräflichen Familie aus Ungarn und wurde am 12. Okt. 1812 (nicht 1810) in Gumbinnen geboren, wo sein Vater Postdirektor war. Nach dessen Tode verheiratete sich die Mutter mit dem Dichter des preußischen Nationalliedes, Thiersch, der damals als Gymnasiallehrer in Halberstadt angestellt war. Mit dem 12. Iahre trat der junge C. in das Kadettenhaus zu Potsdam, später in das zu Berlin, wo er bis 1830 blieb. Er wurde dann Leutnant im 36. Infanterieregiment, das erst in Mainz, dann in Saarlouis garnisonierte, nahm aber 1835 seinen Abschied u. ging nach Frankfurt a. M., wo er 1839 das Bürgerrecht erwarb und sich als freier Schriftsteller betätigte. Er gab hier das erste weidmännische Iournal „Der Iäger. Zeitschrift für Iäger und Naturfreunde“ (1838–42) u. die erste Monatsschrift für Pferdezucht „Der Marstall“ (1838 bis 1842) heraus. Im Iahre 1840 siedelte er nach Leipzig über, wo er eine Schwimmanstalt errichtete und außerdem literarisch beschäftigt war. Im Iahre 1848 nahm er mit seinem Freunde Georg Herwegh an dem badischen Aufstande teil, kehrte auch im Mai 1849 nach vorübergehendem Aufenthalt in Berlin nach Baden zurück, verteidigte als Bürgerwehroberst Mannheim gegen die Preußen bis nach der Schlacht bei Waghäusel, wurde schließlich in Rastadt eingeschlossen und nach Übergabe der Festung zum Tode verurteilt, aber in Berücksichtigung seiner Verwendung für die Übergabe zu zehnjähriger Festungshaft begnadigt. Er büßte dieselbe in Bruchsal ab. Als ihm im Oktbr. 1855 der Rest der Strafe erlassen worden war, begab er sich über Amsterdam nach London, wo er literarischen Arbeiten oblag. Im Iahre 1861 veröffentlichte er seine Erlebnisse in dem Buche „Aus dem Leben eines Volkskämpfers“ ( dam); auch reiste er in demselben Iahre als Spezialkorrespondent der „Augsburger Allgemeinen Zeitung“ u. Korrespondent der mes“ später als Oberst in den Dienst der Verein. Staaten, deren Regierung ihn nach dem Bürgerkriege im Kriegsministerium, dann im Schatzamte anstellte. Seit 1867 war C. Spezialkorrespondent der Berlin, dann 1870–71 Kriegsberichterstatter der Wiener „Neuen Freien Presse“ u. a. Blätter, vertrat 1873 auf der Wiener Weltausstellung die North Pacific-Eisenbahngesellschaft, lebte seit 1874 in Kreuzwertheim am Main, in Wertheim (Baden), siedelte 1876 nach Leipzig, 1883 nach dem thüringischen Kurorte Elgersburg u. Ende 1885 nach Wiesbaden über, wo er am 2. März 1886 starb. Hassan (Dram. M.), 1836. – Die Hunyaden (Tr.), 1836. – Historische Denkmale des christlichen Fanatismus; 2. A. u. d. T.: Pfaffenspiegel, 1868, 7. A. 1890. – Geschichte der Aurora von Königsmark, 1847. – Die goldene Legende (Eine Naturgesch. der Heiligen), 1875. 4. A. 1890. – Zehn Iahre aus meinem Leben, 1875. – Aus dem Zellengefängnis (Br.), 1884. – Erinnerungen aus meinem Leben. 4. Ausg., 1890. – Die Geißler (Ergänzung zum Pfaffenspiegel), 1846. 3. Aufl. 1892. – Frisch gewagt ist halb gewonnen (Lsp. nach dem Engl.), 1884. – Die gefrorene Schwiegermutter (Lsp. nach dem Englischen), 1885."
1050460235,"pseud. 10. Febr. (22. Febr. n. St.) 1829 in Riga geboren, bereitete sich für den Handelsstand vor, zuletzt in der damaligen Handelsklasse der dortigen Kreisschule, versah dann die Stelle eines Korrespondenten verschiedener Sprachen in mehreren angesehenen Handelshäusern in Riga u. gründete daselbst 1852 ein selbständiges Handelshaus. Im Iahre 1868 wurde er zum Ratsherrn erwählt; als solcher war er auch Mitglied u. später Präses des Rigaer ständischen Theaterverwaltungskomitees. D. hatte vielfach Gelegenheit, größere Reisen durch Deutschland, Holland und Belgien zu machen. Bei seiner Vorliebe für literarische Beschäftigung wurde er auch mit der französischen, englischen und dänischen Sprache u. deren Literatur vertraut. Nach Auflösung des Rigaischen Rats zog er sich vom Geschäftsleben zurück und siedelte 1891 mit seiner Familie nach Freiburg in Br. über, wo er als Privatmann seinen literarischen Neigungen lebte und am 5. Ian. 1903 starb. Gedichte, 1876. – Lebensblüten (Lieder), 1884."
unidentified002,"geb. am 5. Septbr. 1860 zu Czernowitz in der Bukowina, besuchte seit 1870 das Obergymnasium daselbst u. trat 1876 in die dortige Lehrerbildungsanstalt ein, in der er an seinem Lehrer Anton Staufe einen Freund und Ratgeber fand. Nach Absolvierung der Anstalt wurde er 1880 Lehrer in Czernowitz, 1881 in Chmeleschen (Böhmen), 1882 Schulleiter in Gossamoda und 1887 Oberlehrer daselbst. Seit 1891 wirkt er in gleicher Eigenschaft in GroßOtschehau (Böhmen). Skizzen u. Erzählungen, 1888. – Lied, Leben und Traum (Ge.), 1907."
1213287766,"wurde am 7. Iuli (a. St.) 1827 zu Mitau in Kurland als der Sohn eines russischen Majors geboren, erhielt seine Bildung im Pastorat Wahnen und auf den Gymnasien zu Mitau und Hasenpoth, studierte 1847–51 in Dorpat Geschichte, wirkte von 1852 bis 1856 in Riga u. in Kurland auf dem Lande als Hauslehrer u. unternahm dann eine 14 monatige Reise durch Deutschland, Frankreich, Algerien, Spanien und England. Nach seiner Rückkehr ließ er sich 1857 in Riga als Privatlehrer nieder u. starb daselbst am 11. Ian. (a. St.) 1888. Gedichte, 1853. 2. A. 1868. – Mein Kranz und meine Burg (Neue Ge.), 1870. – Mein Feld (Erzählnde. Ge.), 1878."
1055112596,"wurde am 4. Mai 1889 in Riga (Rußland) geboren. Ihr Vater, halb Däne, halb Deutscher, starb schon im folgenden Iahre, und die Mutter, die einer ehemals aus Norwegen eingewanderten und in Petersburg ansässigen Familie entstammte, zog nun nach dieser Stadt zurück, starb aber auch schon 1893, so daß Edit nun ihre Erziehung durch eine Schwester der Mutter erhielt. Sie lebte teils in Petersburg, teils in Finnland und erlernte mit sieben Iahren die deutsche Sprache, die gar bald die russische in den Hintergrund drängte. Als die ersten politischen Unruhen in Rußland begannen, zogen die Verwandten mit Edit nach Deutschland und nahmen ihren Wohnsitz in Braunschweig. Mit 17 Iahren ging Edit nach Hannover, um hier das Mädchen-Realgymnasium zu besuchen, fühlte sich aber hier nicht wohl und siedelte darum 1908 nach Berlin über, wo sie drei Semester hindurch die „Iournalistische Hochschule“ besuchte, die ihr viele Anregung bot u. neue Wege öffnete. Seit 1910 lebt sie meist auf Reisen. Paradoxa (V. eines Dekadenten, ein Band Lyrik aus dem 16. bis 20. Lebensjahre), 1911. – Aus dem Tagebuche eines Königsmörders (Blätter zum Nachdenken), 1911."
