Personenname,Sprache,Sprachnutzung,Beleg,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
"Erbach-Schönberg, Gräfin Marie zu",Englisch,Übersetzungen,Übersetzg. der Kate Marsden,,,,,,,,,
"Fehr, Laura",Dänisch,Übersetzungen,Übersetzg. der Fanny Tuxen,,,,,,,,,
"Feilitzsch, Emmy v.",Englisch,Übersetzungen,Übersetzg. d. E. Lyall,,,,,,,,,
"Franzos, Frl. Mizi",Französisch,Übersetzungen,"übersetzt aus dem Französischen, Englischen, Italienischen, Spanischen, Dänischen, Schwedischen und Norwegischen",,,,,,,,,
"Franzos, Frl. Mizi",Englisch,Übersetzungen,"übersetzt aus dem Französischen, Englischen, Italienischen, Spanischen, Dänischen, Schwedischen und Norwegischen",,,,,,,,,
"Franzos, Frl. Mizi",Italienisch,Übersetzungen,"übersetzt aus dem Französischen, Englischen, Italienischen, Spanischen, Dänischen, Schwedischen und Norwegischen",,,,,,,,,
"Franzos, Frl. Mizi",Spanisch,Übersetzungen,"übersetzt aus dem Französischen, Englischen, Italienischen, Spanischen, Dänischen, Schwedischen und Norwegischen",,,,,,,,,
"Franzos, Frl. Mizi",Dänisch,Übersetzungen,"übersetzt aus dem Französischen, Englischen, Italienischen, Spanischen, Dänischen, Schwedischen und Norwegischen",,,,,,,,,
"Franzos, Frl. Mizi",Schwedisch,Übersetzungen,"übersetzt aus dem Französischen, Englischen, Italienischen, Spanischen, Dänischen, Schwedischen und Norwegischen",,,,,,,,,
"Franzos, Frl. Mizi",Norwegisch,Übersetzungen,"übersetzt aus dem Französischen, Englischen, Italienischen, Spanischen, Dänischen, Schwedischen und Norwegischen",,,,,,,,,
Friedlaender Margarete,Englisch,Übersetzung,Blütenlese englischer Dichtung. Für Freunde engl. Litteratur ausgew. u. übertr.,,,,,,,,,
Geissler Cessy,Schwedisch,Übersetzung,Autoris. Übers. aus dem Schwed.,,,,,,,,,
Henrich Albertine,Englisch,Übersetzung,Übersetzg. aus dem Engl.,,,,,,,,,
Heusler Marie,Italienisch,Übersetzung wissenschaftlicher Werke,hat verschiedene wissenschaftliche Werke aus dem Italienischen und Englischen übersetzt,,,,,,,,,
Heusler Marie,Englisch,Übersetzung wissenschaftlicher Werke,hat verschiedene wissenschaftliche Werke aus dem Italienischen und Englischen übersetzt,,,,,,,,,
Hoffmann Luise,Französisch,Unterricht,Lehrerin der französischen Sprache,,,,,,,,,
Gottheiner Elisabeth,Englisch,Übersetzung,Autorisierte Übersetzg. des Romans d. Mrs. Alexander,,,,,,,,,
Kameke E. v.,Englisch,Übersetzung,Auch als Übersetzerin aus dem Englischen ist E. v. K. thätig,,,,,,,,,
Katz Helene,Italienisch,Übersetzung,Übersetzg. der Neera aus dem Ital.,,,,,,,,,
Kelchner J.,Russisch,Übersetzung,übersetzt aus dem Russischen,,,,,,,,,
Knoblich Nini,Französisch,Übersetzung,"übersetzt aus dem Französischen, Italienischen, Englischen und Spanischen",,,,,,,,,
Knoblich Nini,Italienisch,Übersetzung,"übersetzt aus dem Französischen, Italienischen, Englischen und Spanischen",,,,,,,,,
Knoblich Nini,Englisch,Übersetzung,"übersetzt aus dem Französischen, Italienischen, Englischen und Spanischen",,,,,,,,,
Knoblich Nini,Spanisch,Übersetzung,"übersetzt aus dem Französischen, Italienischen, Englischen und Spanischen",,,,,,,,,
Koch Henny,Englisch,Übersetzung,Von Mary Wilkins. Übers,,,,,,,,,
Kraze Friede H.,Englisch,Übersetzung,übersetzt aus dem Englischen,,,,,,,,,
Lange Valerie,Polnisch,Übersetzung,"übersetzte sie aus dem Polnischen, Ruthenischen und Russischen ins Deutsche",,,,,,,,,
Lange Valerie,Ruthenisch,Übersetzung,"übersetzte sie aus dem Polnischen, Ruthenischen und Russischen ins Deutsche",,,,,,,,,
Lange Valerie,Russisch,Übersetzung,"übersetzte sie aus dem Polnischen, Ruthenischen und Russischen ins Deutsche",,,,,,,,,
Loevinson Johanna,Französisch,Übersetzung,übersetzt aus dem Französischen und Italienischen,,,,,,,,,
Loevinson Johanna,Italienisch,Übersetzung,übersetzt aus dem Französischen und Italienischen,,,,,,,,,
Lucca Luise,Spanisch,Übersetzung,beschäftigt sich mit Übersetzungen aus dem Spanischen,,,,,,,,,
Mann Mathilde,Norwegisch,Übersetzung,Übersetzg. aus d. Norwegisch,,,,,,,,,
Marezoll Karoline,Englisch,Übersetzung,Nach dem Engl. d. Mistress Sherwood,,,,,,,,,
Mlynarska Frieda von,Polnisch,Übersetzung,mit der polnischen Litteratur beschäftigt und eine grosse Anzahl Bücher u.a. übersetzt,,,,,,,,,
Perné Emma de,Französisch,Sprachprüfung,legte an der Wiener Universität die Prüfung in der französischen Sprache ab,,,,,,,,,
Perné Emma de,Ungarisch,Spracherwerb,lernte sie die ungarische Sprache,,,,,,,,,
Phillippi Charlotte,Englisch,Übersetzung,Autoris. Übersetzg. d. Cotta Schönberg,,,,,,,,,
Piorkowska Jenny,Englisch,Übersetzung,Aus dem Engl. d. Ouida,,,,,,,,,
Pongrácz Elise v.,Französisch,Übersetzung,Aus dem Franz. der Gräfin Segur übersetzt,,,,,,,,,
Procházka Tony,Französisch,Übersetzung,Sie übersetzt aus dem Französischen,,,,,,,,,
Röse Martha,Englisch,Übersetzung,übersetzt aus dem Englischen,,,,,,,,,
Schmoll Gisela,Französisch,Übersetzung,übersetzt aus dem Französischen,,,,,,,,,
Schultze Anna,Englisch,Übersetzung,übersetzt aus dem Englischen,,,,,,,,,
Stein Emilie,Nordische Sprachen,Übersetzung,schreibt Übersetzungen der nordischen Sprachen,,,,,,,,,
Stockhausen Fanny,Englisch,Übersetzung,Übersetzg. d. Kate Greeneway,,,,,,,,,
Weiland Martha,Englisch,Übersetzung,ist als Übersetzerin aus dem Englischen schriftstellerisch thätig,,,,,,,,,
,,,,Personenname,Sprache,Sprachnutzung,Beleg,,,,,
,,,,Adelmann, Frl. Helene,Englisch,Artikel für englische Blätter,auch hie und da kleine naturwissenschaftliche Artikel für englische Blätter,,,,
,,,,Abell, Lucie Elisabeth,Englisch,Übersetzung von Memoiren,Aus dem Engl. von Wilh. Ad. Lindau,,,,
,,,,Alrebi, Bertha,Griechisch,Übersetzung von Anthologie,Charis. Griechische Anthologie in deutscher Übersetzg.,,,,
,,,,Amerlan, Frl. Frieda,Französisch,Sprachunterricht,Ausser französischen Stunden bei einem alten Fräulein,,,,
,,,,Andreae, S. Frieda,Französisch,Übersetzung von Romanen,Camilla. Übers. a. d. Franz. der Gräfin Gasparin,,,,
,,,,Andreae, S. Frieda,Englisch,Übersetzung,Zwei Brüder. (N. d. Engl.),,,,
,,,,Arnous, Frl. Amélie,Italienisch,Übersetzungen und Artikel,schrieb Übersetzungen aus dem Italienischen, Spanischen und Französischen,,,
,,,,Arnous, Frl. Amélie,Spanisch,Übersetzungen,schrieb Übersetzungen aus dem Italienischen, Spanischen und Französischen,,,
,,,,Arnous, Frl. Amélie,Französisch,Übersetzungen,schrieb Übersetzungen aus dem Italienischen, Spanischen und Französischen,,,
,,,,Arand, Frau Cäcilia,Französisch,Spracherwerb im Ausland,ging später nach Lausanne, und fand hier Gelegenheit, sich die französische Sprache zu eigen zu machen,,
,,,,Arx-Stegmüller, Frau Fanny v.,Italienisch,Übersetzung von Romanen,machte Übersetzungen, von welchen Marchesa Colombi's, »Im Reisfeld,« Memini's »Mia« besonders zu nennen sind,
,,,,Asten, Luise v.,Spanisch,Übersetzung von Theaterstücken,Echegaray: Lustiges Leben – trauriger Tod. Übers.,,,,
,,,,Alexandra, Prinzessin v. Bayern,Englisch,Übersetzung,Übers. a. d. Engl. u. Franz.,,,,
,,,,Alexandra, Prinzessin v. Bayern,Französisch,Übersetzung,Übers. a. d. Engl. u. Franz.,,,,
,,,,Augusti, Brigitte,Englisch,Bearbeitung englischer Erzählungen,N. d. engl. Erzhlg. »Die Mädchen von Quinnebasset v. S. May«,,,,
,,,,Augusti, Brigitte,Französisch,Übersetzung,N. d. Franz. von J. Colomb,,,,
,,,,```,,,,,,,,
"Bach-Gelpcke, Frau Marie",Französisch,Simultaner Spracherwerb,erlernte die Kleine die beiden Sprachen französisch und deutsch gleichzeitig,,,,,,,,,
"Bagge, Frl. Elilla",Französisch,Übersetzung,Der arme Marcel. Preisgekrönte Nov. Üb. des Werkes v. T. Combe. Aus dem Franz.,,,,,,,,,
"Bagge, Frl. Elilla",Englisch,Übersetzung,Donovan. Lebensgeschichte eines Engländers aas unseren Tagen. Üb. des Werkes v. Edna Lyall. Aus dem Engl.,,,,,,,,,
"Ballestrem, Adlersfeld-, Eufemia",Englisch,Übersetzung,"Neue Blätter. Aus meinem Tagebuche in den Hochlanden; von 1862–1882. (Von Victoria, Königin v. England.) Mit Allerhöchster Autorisation. Aus dem Engl.",,,,,,,,,
"Baranius-Molien, Frau Dr. Elise",Estnisch,Unterricht,esthnische und russische Kinder in deutscher Sprache unterrichtet wurden,,,,,,,,,
"Baranius-Molien, Frau Dr. Elise",Russisch,Unterricht,esthnische und russische Kinder in deutscher Sprache unterrichtet wurden,,,,,,,,,
"Barsch, Hedwig",Portugiesisch,Journalismus,Mitarbeiterin vornehmer deutscher und portugiesischer Zeitungen und Zeitschriften. Besondere Erwähnung verdienen ihre Charakterskizzen aus dem norddeutschen und portugiesischen Volksleben und ihre Aufsätze und Kritiken über portugiesische Litteratur,,,,,,,,,
"Baudissin, Gräfin Thekla v.",Englisch,Sprachunterricht,"Engl. Sprachlehre. 2. Ausg. 8. (347) Wien 1865, F. Beck. 1.60",,,,,,,,,
"Baumann, Frl. Marla",Englisch,Übersetzung,"Aus Kingsleys Schriften. Übersetzg. 8. (280) Göttingen 1897, Vandenhoeck u. Ruprecht.",,,,,,,,,
"Beaulieu, Gertraut Châles de",Französisch,Familiäre Herkunft,entstammt einer französischen Emigrantenfamilie,,,,,,,,,
"Beaulieu, Gertraut Châles de",Englisch,Übersetzung,"als Übersetzerin von Korrespondenzen ins Englische für den »Melbourne Argus« in Australien, die »Hour« in London",,,,,,,,,
"Beaulieu, Gertraut Châles de",Italienisch,Journalismus,"Schrieb für den »Capitan Fracassa«, Zeitung in Rom",,,,,,,,,
"Becher, Frau Emmy Dr.",Französisch,Übersetzung,Die weissen Felsen. Rom. von Edouard Rod. Aut. Üb. aus dem Franz.,,,,,,,,,
"Behne, Frl. M.",Englisch,Übersetzung,"übersetzt in freier Bearbeitung, zusammen mit M. Grabi, englische und französische Romane",,,,,,,,,
"Behne, Frl. M.",Französisch,Übersetzung,"übersetzt in freier Bearbeitung, zusammen mit M. Grabi, englische und französische Romane",,,,,,,,,
"Behr, Sophie",Russisch,Übersetzung,Russische Dichtungen. Übers. v. S. B. 2 Tle.,,,,,,,,,
"Below, Frau Anna von",Englisch,Übersetzung,Mein Liebling. Erzählg. nach dem Engl.,,,,,,,,,
"Berger, Adele",Englisch,Übersetzung,Absinth. Rom. Aus d. Engl. Übersetzg.,,,,,,,,,
"Berens, Frau Clara",Englisch,Bildung,Nach Absolvierung des vierjährigen Kursus wurde sie englische Lehrerin in ihrer Heimatstadt,,,,,,,,,
"Berks, Marie Edle von",Französisch,Journalismus,"Da sie auch in französischer Sprache schrieb, so brachten sowohl die »Nouvelle revue« und angesehene Tagesblätter Novellen und Artikel von ihr",,,,,,,,,
"Bern, Olga",Französisch,Schriftstellerei,"schrieb schon als zehnjähriges Kind kleine Erzählungen in deutscher, französischer und russischer Sprache",,,,,,,,,
"Bern, Olga",Russisch,Schriftstellerei,"schrieb schon als zehnjähriges Kind kleine Erzählungen in deutscher, französischer und russischer Sprache",,,,,,,,,
"Bernadzikowska, Jelica",Deutsch,Familiäre Zweisprachigkeit,sprach aber schon in dem Hause ihrer kroatischen Eltern neben ihrer Muttersprache auch deutsch,,,,,,,,,
"Bernadzikowska, Jelica",Kroatisch,Literatur,In der kroatischen und serbischen Litteratur wohl bewandert,,,,,,,,,
"Bernadzikowska, Jelica",Serbisch,Literatur,In der kroatischen und serbischen Litteratur wohl bewandert,,,,,,,,,
"Bessmertny, Frau Marie",Russisch,Übersetzung,sowie auf Übertragung moderner russischer Novellen und Novelletten ins Deutsche,,,,,,,,,
"Bigot, Charl",Französisch,Sprachunterricht,Franz. Sprachlehre. 2. Ausg.,,,,,,,,,
"Bigot, Madame",Englisch,Übersetzung,Eine internationale Ehe. Autor. Übersetz. a. d. Engl.,,,,,,,,,
"Birndt, Frl. Claudia C.",Englisch,Übersetzungen aus und ins Englische,"ist geprüfte Sprachlehrerin und übersetzt aus und in fremde Sprachen: Englisch, Französisch, Italienisch, Spanisch, Neugriechisch. Ins Englische: Rollfuss, B., Über Modulationen, 1890 und aus dem Englischen: »Jukichi Inouye, der japanisch-chinesische Krieg«",,,,,,,,,
"Birndt, Frl. Claudia C.",Französisch,Übersetzungen,"ist geprüfte Sprachlehrerin und übersetzt aus und in fremde Sprachen: Englisch, Französisch, Italienisch, Spanisch, Neugriechisch",,,,,,,,,
"Birndt, Frl. Claudia C.",Italienisch,Übersetzungen,"ist geprüfte Sprachlehrerin und übersetzt aus und in fremde Sprachen: Englisch, Französisch, Italienisch, Spanisch, Neugriechisch",,,,,,,,,
"Birndt, Frl. Claudia C.",Spanisch,Übersetzungen,"ist geprüfte Sprachlehrerin und übersetzt aus und in fremde Sprachen: Englisch, Französisch, Italienisch, Spanisch, Neugriechisch",,,,,,,,,
"Birndt, Frl. Claudia C.",Neugriechisch,Übersetzungen,"ist geprüfte Sprachlehrerin und übersetzt aus und in fremde Sprachen: Englisch, Französisch, Italienisch, Spanisch, Neugriechisch",,,,,,,,,
"Birndt, Frl. Fanny",Neugriechisch,Übersetzungen von Erzählungen und Gedichten,Mit ihrer Schwester Fanny zusammen übersetzte sie mehrere Erzählungen und Gedichte aus dem Neugriechischen,,,,,,,,,
"Blumberg, Frl. Malwina Amalie",Polnisch,Übersetzungen ins Deutsche,beherrscht daher ausser dem Polnischen und Deutschen auch das Französische und Englische. Ausser ihren vielfachen Übersetzungen aus dem Polnischen ins Deutsche,,,,,,,,,
"Blumberg, Frl. Malwina Amalie",Französisch,Sprachbeherrschung,beherrscht daher ausser dem Polnischen und Deutschen auch das Französische und Englische,,,,,,,,,
"Blumberg, Frl. Malwina Amalie",Englisch,Sprachbeherrschung,beherrscht daher ausser dem Polnischen und Deutschen auch das Französische und Englische,,,,,,,,,
"Bistram, Baronin Lilli v.",Russisch,Sprachbeherrschung,"Sie beherrscht ausser der deutschen noch die russische, polnische, französische und englische Sprache",,,,,,,,,
"Bistram, Baronin Lilli v.",Polnisch,Sprachbeherrschung,"Sie beherrscht ausser der deutschen noch die russische, polnische, französische und englische Sprache",,,,,,,,,
"Bistram, Baronin Lilli v.",Französisch,Sprachbeherrschung,"Sie beherrscht ausser der deutschen noch die russische, polnische, französische und englische Sprache",,,,,,,,,
"Bistram, Baronin Lilli v.",Englisch,Sprachbeherrschung,"Sie beherrscht ausser der deutschen noch die russische, polnische, französische und englische Sprache",,,,,,,,,
"Bock, Frau Henriette",Polnisch,Übersetzungen,"Sie übersetzt aus dem Polnischen, Französischen, Englischen und Italienischen",,,,,,,,,
"Bock, Frau Henriette",Französisch,Übersetzungen,"Sie übersetzt aus dem Polnischen, Französischen, Englischen und Italienischen",,,,,,,,,
"Bock, Frau Henriette",Englisch,Übersetzungen,"Sie übersetzt aus dem Polnischen, Französischen, Englischen und Italienischen",,,,,,,,,
"Bock, Frau Henriette",Italienisch,Übersetzungen,"Sie übersetzt aus dem Polnischen, Französischen, Englischen und Italienischen",,,,,,,,,
"Borggreve, Frl. Emma",Volapük,Lehrerin und Korrespondentin,Volapük-Lehrerin und Korrespondentin,,,,,,,,,
"Borch, Marie v.",Norwegisch,Übersetzungen von Theaterstücken,Die Frau vom Meer. 5. Aufl. Von Henr. Ibsen. Übers. a. d. Norweg.,,,,,,,,,
"Braeutigam, Frau Susanne",Französisch,Leitung von Cercles Français,seit den letzten Jahren leitet sie in Bremen verschiedene »Cercles Français«,,,,,,,,,
"Brandt, Frau Augusta",Polnisch,Übersetzungen,übersetzt aus dem Polnischen und Russischen,,,,,,,,,
"Brandt, Frau Augusta",Russisch,Übersetzungen,übersetzt aus dem Polnischen und Russischen,,,,,,,,,
"Böhmer, Frau Hedwig",Englisch,Übersetzungen,"machte sich bekannt als Übersetzerin aus dem Englischen, Italienischen und Lateinischen",,,,,,,,,
"Böhmer, Frau Hedwig",Italienisch,Übersetzungen,"machte sich bekannt als Übersetzerin aus dem Englischen, Italienischen und Lateinischen",,,,,,,,,
"Böhmer, Frau Hedwig",Lateinisch,Übersetzungen,"machte sich bekannt als Übersetzerin aus dem Englischen, Italienischen und Lateinischen",,,,,,,,,
Britz Clara,Französisch,Übersetzung und Erziehung,Mit kurzen Unterbrechungen war sie ungefähr zwanzig Jahre in französischen Familien Erzieherin,,,,,,,,,
Brix Laura,Polnisch,Übersetzung,übersetzte aus dem Polnischen die Werke von Elise Orzsesko,,,,,,,,,
Brockmann Auguste,Französisch,Elementarunterricht,Auf Privatstunden im Französischen hat sie nur Elementarunterricht erhalten,,,,,,,,,
Bruch-Sinn Karoline,Englisch,Übersetzung,übersetzt auch aus dem Englischen und Französischen,,,,,,,,,
Bruch-Sinn Karoline,Französisch,Übersetzung,übersetzt auch aus dem Englischen und Französischen,,,,,,,,,
Brückner Anna,Englisch,Lehrtätigkeit,ist seit 1888 als Lehrerin der englischen und französischen Sprache,,,,,,,,,
Brückner Anna,Französisch,Lehrtätigkeit,ist seit 1888 als Lehrerin der englischen und französischen Sprache,,,,,,,,,
Brug Anna,Französisch,Übersetzung,Frei nach dem Franz.,,,,,,,,,
Brunnemann A.,Französisch,Übersetzung,Übers. aus dem Franz.,,,,,,,,,
Brunnemann Elisabeth,Französisch,Studium,macht in Paris und London Studien,,,,,,,,,
Brunnemann Elisabeth,Englisch,Studium,macht in Paris und London Studien,,,,,,,,,
Bube Johanna,Englisch,Lehrtätigkeit und Hauslehrer,ging sie nach England wo sie 5 Jahre als Hauslehrerin wirkte,,,,,,,,,
Buch M.,Finnisch,Übersetzung,Finnische Nov. in Übersetzgn.,,,,,,,,,
Buchwald Valesca,Polnisch,Übersetzung,wo sie gleichzeitig mit der Muttersprache die polnische lernte,,,,,,,,,
Buchwald Valesca,Russisch,Übersetzung,spätere Thätigkeit als Übersetzerin aus dem Polnischen und Russischen,,,,,,,,,
Bülow Gertrud v.,Englisch,Lektüre,durch die Lektüre von Mrs. Jamesons Book of common thoughts,,,,,,,,,
Bufalo della Valle Emilia,Deutsch,Schriftstellerei,schriftstellerische Thätigkeit in Deutsch Italienisch Französich und Englisch,,,,,,,,,
Bufalo della Valle Emilia,Italienisch,Schriftstellerei,schriftstellerische Thätigkeit in Deutsch Italienisch Französich und Englisch,,,,,,,,,
Bufalo della Valle Emilia,Französisch,Schriftstellerei,schriftstellerische Thätigkeit in Deutsch Italienisch Französich und Englisch,,,,,,,,,
Bufalo della Valle Emilia,Englisch,Schriftstellerei,schriftstellerische Thätigkeit in Deutsch Italienisch Französich und Englisch,,,,,,,,,
Buissert B.,Französisch,Übersetzung,Aus dem Französ. übersetzt,,,,,,,,,
Bulyovsky Lila,Ungarisch,Übersetzung,Aus dem Ungarischen,,,,,,,,,
Bunsen Emma,Englisch,Übersetzung,Aus dem Engl. frei übertr. v. E. B.,,,,,,,,,
Burchard Agnes,Mehrere Sprachen,Prüfung und Lehrtätigkeit,nach einem abgelegten Examen in 5 Sprachen,,,,,,,,,
Buttlar Adele,Russisch,Übersetzung,übersetzt aus dem Russischen,,,,,,,,,
Cantacuzene Elsa,Französisch,Übersetzung,ist sie mit der Übersetzung eines ästhetischen Werkes aus dem Französischen beschäftigt,,,,,,,,,
Carel George,Italienisch,Journalismus,als Korrespondentin für die Gazzetta d'Italia in Florenz,,,,,,,,,
Carmen Sylva,Rumänisch,Übersetzung,Lieder a. d. Dimbovitzathal deutsch Ton S. C.,,,,,,,,,
Carmen Sylva,Französisch,Übersetzung,Islandfischer Von P. Loti Übers. v. S. C.,,,,,,,,,
Caspari Johanna,Spanisch,Übersetzung,übersetzt aus dem Spanischen und lebt zur Zeit in Madrid,,,,,,,,,
Chapell Jenny,Englisch,Übersetzung,Dentsch v. J. Klenert,,,,,,,,,
Charles Emmy,Französisch,Bearbeitung,Nach d. Franz. frei bearb. v. Ch.,,,,,,,,,
Chiger Pauline,Ungarisch,Dichtung,hat auch in ungarischer Sprache zu dichten,,,,,,,,,
Chirol Valentine,Englisch,Journalismus,ist Korrespondentin der Times,,,,,,,,,
Chys Julienne van der,Niederländisch,Dichtung,ihre ersten Verse waren in holländischer Sprache geschrieben,,,,,,,,,
Chys Julienne van der,Deutsch,Spracherwerb,Mit Mühe erlernte sie die deutsche Sprache,,,,,,,,,
Clark Julie,Englisch,Übersetzung,Übersetzerin aus dem Englischen Französischen und Russischen,,,,,,,,,
Clark Julie,Französisch,Übersetzung,Übersetzerin aus dem Englischen Französischen und Russischen,,,,,,,,,
Clark Julie,Russisch,Übersetzung,Übersetzerin aus dem Englischen Französischen und Russischen,,,,,,,,,
Clasen-Schmid Mathilde,Französisch,Erziehung und Bildung,ausser der Muttersprache das Französische und Italienische pflegte,,,,,,,,,
Clasen-Schmid Mathilde,Italienisch,Bildung,ausser der Muttersprache das Französische und Italienische pflegte,,,,,,,,,
Commer Clara,Katalanisch,Übersetzung,Catalanische Lieder von J. Verdaguer,,,,,,,,,
Commer Clara,Englisch,Übersetzung,Englische Dichtgn. Deutsch v. C. C.,,,,,,,,,
Cornelius Auguste,Französisch,Übersetzung,Molière... Übers.,,,,,,,,,
"Cossart, Frau Anna v.",Russisch,Übersetzung,hat Novellen und Gedichte geschrieben und aus dem Russischen übersetzt,,,,,,,,,
"Crepaz, Frau Adele",Französisch,Übersetzung,"übersetzt auch aus dem Französischen, Englischen und Italienischen ",,,,,,,,,
"Crepaz, Frau Adele",Englisch,Übersetzung,"übersetzt auch aus dem Französischen, Englischen und Italienischen",,,,,,,,,
"Crepaz, Frau Adele",Italienisch,Übersetzung,"übersetzt auch aus dem Französischen, Englischen und Italienischen",,,,,,,,,
"Cserhalmi-Gerö, Frau Irene H.",Französisch,Übersetzung,"erlernte in frühester Jugend Französisch, Englisch, Italienisch, Deutsch und Ungarisch",,,,,,,,,
"Cserhalmi-Gerö, Frau Irene H.",Englisch,Übersetzung,"erlernte in frühester Jugend Französisch, Englisch, Italienisch, Deutsch und Ungarisch",,,,,,,,,
"Cserhalmi-Gerö, Frau Irene H.",Italienisch,Übersetzung,"erlernte in frühester Jugend Französisch, Englisch, Italienisch, Deutsch und Ungarisch",,,,,,,,,
"Cserhalmi-Gerö, Frau Irene H.",Deutsch,Übersetzung,"erlernte in frühester Jugend Französisch, Englisch, Italienisch, Deutsch und Ungarisch",,,,,,,,,
"Cserhalmi-Gerö, Frau Irene H.",Ungarisch,Übersetzung,"erlernte in frühester Jugend Französisch, Englisch, Italienisch, Deutsch und Ungarisch",,,,,,,,,
"Cserhalmi-Gerö, Frau Irene H.",Dänisch,Übersetzung,"übersetzt aus dem Dänischen, Spanischen, Italienischen, Englischen, Französischen, Deutschen und Ungarischen",,,,,,,,,
"Cserhalmi-Gerö, Frau Irene H.",Spanisch,Übersetzung,"übersetzt aus dem Dänischen, Spanischen, Italienischen, Englischen, Französischen, Deutschen und Ungarischen",,,,,,,,,
"Cubäus, Olga",Englisch,Lehrertätigkeit,ging später als Lehrerin nach England,,,,,,,,,
"Dammermann, Frau Pastor Marie",Englisch,Übersetzung,übersetzt aus dem Englischen und Französischen,,,,,,,,,
"Dammermann, Frau Pastor Marie",Französisch,Übersetzung,übersetzt aus dem Englischen und Französischen,,,,,,,,,
"Daufalik, Frau Leopoldine",Französisch,Übersetzung,"beschäftigt sich hauptsächlich mit Übersetzungen aus dem Französischen, Italienischen und Englischen",,,,,,,,,
"Daufalik, Frau Leopoldine",Italienisch,Übersetzung,"beschäftigt sich hauptsächlich mit Übersetzungen aus dem Französischen, Italienischen und Englischen",,,,,,,,,
"Daufalik, Frau Leopoldine",Englisch,Übersetzung,"beschäftigt sich hauptsächlich mit Übersetzungen aus dem Französischen, Italienischen und Englischen",,,,,,,,,
"Dealand, Marg",Englisch,Übersetzung,Aus dem Englischen übers,,,,,,,,,
"Denhardt, H.",Schwedisch,Übersetzung,Aus dem Schwed. übersetzt,,,,,,,,,
"Denhardt, H.",Norwegisch,Übersetzung,Aus dem Norweg.,,,,,,,,,
"Destouches, Frl. Johanna v.",Französisch,Lehrerinnenexamen,"bestand das staatliche Lehrerinnenexamen im Französischen, Englischen und Italienischen",,,,,,,,,
"Destouches, Frl. Johanna v.",Englisch,Lehrerinnenexamen,"bestand das staatliche Lehrerinnenexamen im Französischen, Englischen und Italienischen",,,,,,,,,
"Destouches, Frl. Johanna v.",Italienisch,Lehrerinnenexamen,"bestand das staatliche Lehrerinnenexamen im Französischen, Englischen und Italienischen",,,,,,,,,
"Devidé, Frau Henriette",Volapük,Vermittlung für Übersetzungen,"auf dem Wege des Volapük bereits in das Dänische, Russische, Französische, Spanische, Italienische und Ungarische übersetzt worden sind",,,,,,,,,
"Devrient, Frl. Luise",Englisch,Übersetzung,übersetzt aus dem Englischen und Französischen,,,,,,,,,
"Devrient, Frl. Luise",Französisch,Übersetzung,übersetzt aus dem Englischen und Französischen,,,,,,,,,
"Dillmont, Thérèse de",Deutsch,Publikation,In deutsch. u. franz. Ausg.,,,,,,,,,
"Dillmont, Thérèse de",Französisch,Publikation,In deutsch. u. franz. Ausg.,,,,,,,,,
