identifier,original,surname_y,prename_y,Zusatz,alternative_names_y,place_of_birth,place_of_death,date_of_birth,date_of_death,biography,bibliography,alternative_names,alternative_biography,alternative_bibliography,wohnort_1,wohnort_2,wohnort_3,wohnort_4,wohnort_5,wohnort_6,wohnort_7,wohnort_8,wohnort_9,wohnort_10,wohnort_11,wohnort_12,wohnort_13,wohnort_14,wohnort_15,wohnort_16,wohnort_17,wohnort_18,Sprache,Sprache_2,Sprache_3,Sprache_4,Sprache_5,Sprache_6,Sprache_7,Sprache_8
116294051,Althaber Wilhelmine,Althaber,Wilhelmine,,,,,1841,1917,"Althaber, Wilhelmine, Bonn a. Rh., Breitestr. 93, wurde am 12. Juni 1841 in Greifswald geboren, wo sie auch die höhere Töchterschule absolvierte. Nachdem sie im Jahre 1866 das staatliche Examen für Lehrerinnen bestanden, war sie fünfundzwanzig Jahre, davon die letzten siebzehn in Remscheid, unterrichtend an Volksschulen thätig. Eingehendes Studium der Glaubenslehre der katholischen Kirche veranlasste sie zu dieser überzutretenaber auch ihre Pensionierung hatte diese Konversion zur Folge, und von nun an beschäftigte sie sich mit Vorliebe litterarisch. Erzählungen und belehrende Abhandlungen sind es, die sie schreibt, und zwar ist der Inhalt der letztern meistens ein religiöserauch war Wilhelmine Althaber längere Zeit Mitarbeiterin der »Germania«. Sie ist Mitglied des »Deutschen Schriftstellerinnen-Bundes.«","‒ Vom Irrwege zur Wahrheit. Mein Glaubensleben in Vergangenheit u. Gegenwart. 1. Aufl. 1893, 2. Aufl. 16. (IV, 48). Bonn 1895, P. Hanstein. n –.50",,,,Bonn,Remscheid,Greifswald,,,,,,,,,,,,,,,,,,,,,,,
1164385046,Althof Paul,Althof,Paul,,,,,1869,1944,"Althof, Paul, Biographie s . Alice Gurschner geb. Pollak.","‒ Coghetta, Nov. 8. (66) Berlin 1894, Freund & Jaeckel. 1.– ‒ Die Asolanen, Rom. 16. (111) Wien 1893, C. Daberkow. 2.– geb. 3.40 ‒ Gernrode, Poet. Erzählg. aus dem 10. Jahrh. 8. (80) Leipzig 1890. Lith. Anst. A. Schulze. n 1.65, geb. in Halbleinw. n 3.–, geb. in Halbleder n 3.50 ‒ Les habitants de la fleurette. 1890. Ebda. ‒ Schneeflocken. Märchen. 1890. Ebda.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126307024,Amerlan Frieda,Amerlan,Frieda,,,Angermünde,,1841-02-19,1924-08-01,"Amerlan, Frl. Frieda, Stiftsdame zu Dahme, geboren in Angermünde den 19. März 1841. Das kleine uckermärkische Städtchen besass damals nur eine Elementarschule, auf deren Unterricht sie hauptsächlich beschränkt blieb. Ausser französischen Stunden bei einem alten Fräulein, welches in ihrer Jugend als Kammerjungfer mit vornehmen Leuten auf Reisen gewesen war, und ausser gelegentlichen Privatstunden bei jungen Kandidaten, die des Examen halber das kleine Landstädtchen aufsuchten, verdankt sie den meisten geistigen Gewinn dem mit den besten Werken ausgestatteten Bücherschranke ihres Vaters. Die erste Anregung zum Aufschreiben und in Druckgeben","‒ Alte liebe Lieder. Eine anreg. gesellschaftl. Unterhaltg. f. junge Mädchen im Alter von 14–16 Jahren. 12. (31 u. 243 Kärtchen) Leipzig 1882, Ruhl. In Karton n 2.25 ‒ »Am häuslichen Herd«. Praktisches Kochbuch. Mit 8 Farbentafeln, 9 Vollbildern u. vielen, kleineren Original-Illustrationen. 8. (500) Stettin 1897. Paul Niekammer. 6.– ‒ Annemarie. Eine Erzählg. f. Jung u. Alt. 8. (35 m. 2 Bildern.) Berlin 1891, Schorss. n –.25 ‒ Aus Urväter Tagen. Altnordisches Götterleben u. Heldentum, der Edda nacherzählt. Mit 7 Vollbildern v. Joh. Gehrts. I. Aufl. 1890, 2. Aufl. 8. (IV, 249) Berlin 1891, H. I. Meidinger. n 3.–, geb. 4.– ‒ Die kleine Heldin. Eine wahre Begebenheit aus dem amerik. Leben. Für Jung und Alt erzählt. – Nummer drei. Eine Erzählg. f. Jung und Alt. 8. (43 m. 3 Bildern.) Ebda. n –.25 ‒ »Ersungen!« Eine Erzählg. f. junge Mädchen. 8. (175) Berlin 1886, Eckstein Nachf. n 2.50 geb. n 3.50 ‒ Fürs junge fröhliche Mädchenherz. Erzählgn., Märchen u. Gedichte. 1. Aufl. reich illustriert. 8. (235) Berlin 1890, Schorss. ‒ Kindergeschichten f. aufmerksame kl. Zuhörer von 4–7 Jahren. Mit 8 (chromolith.) Bildern v. L. Mühling, 3. Aufl. 4. (IV, 54) Glogau 1882, Flemming. geb. 2.25 ‒ Was Grossmutter erzählte, als Schmiede-Wilhelm durchaus nach Amerika wollte. Eine Erzählg. f. Jung und Alt. 8. (46 m. 2 Bildern.) Zur Verteilung an Schulen. Berlin 1891, Schorss. n –.25",,,,Angermünde,Dahme,,,,,,,,,,,,,,,,,Französisch,,,,,,,
117763519,Andrea Silvia,Andrea,Silvia,,,Zuoz,Castasegna,1840-03-22,1935-03-04,"Andrea, Silvia, Biographie s. Johanna Garbald-Gredig.","‒ Erzählungen aus Graubündens Vergangenheit. 8. (VII, 543) Glarus 1888, Vogel. bar n 5geb. 6. – ‒ Faustine. Rom. 8. (309) Ebda. 1889. bar n 4.40 ‒ Wilhelm Teil. Historische Erzählg., dem Schweizervolke zur Bundesfeier gewidmet. 8. (156) Frauenfeld 1891, I. Huber's Verl. n 2.–geb. n 2.40",Andreae Johannaarbald-Gredig Johannailvia Andrea,"Märchen von der Katzenfamilie. 8. (IV, 131) Frankfurt a. M. 1861. Liter.-Anstalt. n 2.–s. Silvia Andrea, Castasegna in Graubünden, Schweiz, geboren am 22. März 1840 in Zuoz im Oberengadin als Tochter eines Lehrers, ist Romanin von Geburt. Ihr Vater pflegte mit grosser Vorliebe die dort viel gebrauchte romanische Sprache, unterrichtete jedoch seine Tochter auch in den Anfängen der deutschen Sprache. Mit ihrem 15. Iahre kam sie in ein deutsches Institut nach Chur, woselbst ihr das Gebiet der deutschen Litteratur erschlossen wurde, in das sie sich mit wahrer Liebe und Begeisterung vertiefte. Als sie 21 Iahre alt war, heiratete sie und kam ins Bergell, eine italienische Thalschaft an der Grenze Italiens, wo sie seit 33 Iahren lebt. 16 Iahre lang blieb ihre Ehe kinderlos und in dieser Zeit fand sie Musse, sich weiter auszubilden und ihrer litterarischen Neigung zu leben. In der Umgebung zweier so verschiedener Volkstämme, Italiener und Schweizer, fand sie auch eine Fülle von Wahrnehmungen, die ihr viel Anregung boten und auf sie selbst nicht ohne Einwirkung blieben. Ihre meisten Werke entstammen der kinderlosen Ehezeit. Auch später, nachdem sie noch Mutter von zwei Knaben und einem Mädchen wurde, blieb sie ihrer litterarischen Thätigkeit treu. Gegenwärtig ist sie Mitarbeiterin an mehreren schweizerischen Zeitschriften. Werke s. auch Silvia Andrea.iographie und Werke s. Johanna Garbald-Gredig.",". Erzählungen aus Graubündens Vergangenheit. 8. (543) Glarus 1889, B. Vogel. 4.–geb. 5.20 ‒ Faustine. 8. (320) Ebda. 1890. 3.60geb. 4.80 ‒ Wilhelm Teil. 8. (157) Frauenfeld 1891, I. Huber. geb. 2.40 Wilhelm Tell. Histor. Erzählg. 8. (157) Frauenfeld 1891, I. Hubers Verlag. 2.–geb. 2.40",Frankfurt a. M.,Castasegna,Graubünden,Rom,Chur,Rom,,,,,,,,,,,,,,,Romanisch,Deutsch,,,,
118502921,Andreas-Salomé Lou,Andreas-Salomé,Lou,,,Sankt Petersburg,Göttingen,1861-02-12,1937-02-05,"Andreae, Johanna. Märchen von der Katzenfamilie. 8. (IV, 131) Frankfurt a. M. 1861. Liter.-Anstalt. n 2.–",,Salomé Lou,s. Lou Andreas-Salomé.,,Schmargendorf,Berlin,,,,,,,,,,,,,,,,,,,,,,,,
11887912X,Andresen Stine,Andresen,Stine,,,,,1849-09-23,1927-05-13,"Andreas-Salomé, Frau Lou, Ps. Henrik Lou, Berlin-Schmargendorf.","‒ Aus fremder Seele. Eine Spätherbstgeschichte. 8. (154) Stuttgart 1897, I. G. Cotta Nachf. n 2.–, geb. 3.– ‒ Friedrich Nietzsche in seinen Werken. 8. (263) Wien 1894, C. Konegen 6.– ‒ Henrik Ibsens Frauengestalten nach seinen sechs Familien-Dramen: Die Frau vom Meere. Die Wildente. Ein Puppenheim. Gespenster. Hedda Gabler. Rosmersholm. Volks(Titel-)Ausg. 8. (III, 238) Berlin 1892, H. Lazarus. n 1.50 ‒ Ruth. Erzählg. 2. Aufl. 8. (304) Stuttgart 1897, I. G. Cotta Nachf. n 3.50, geb. 4.50",,,,Wyk,,,,,,,,,,,,,,,,,,,,,,,,,
116342692,Arndt Fanny,Arndt,Fanny,,,Berlin,Berlin,1827-12-16,1906-11-01,"Arndt, Fanny, Biographie s. Fanny Blaschnik-Arndt.","‒ Der Frauen Anteil an der modernen Weltgeschichte. 1. Bd. 8. (236) Leipzig 1877, Richter. n 2.80, geb. n 3.80 ‒ Die deutschen Frauen in den BefreJungskriegen. 1. Bd. 8. (309) Halle 1868, Buchh. d. Waisenhauses. n 3.–, geb. 4.– ‒ Ed. Hildebrandt, der Maler d. Kosmos. 2. Aufl. 8. (131) Berlin 1867, R. Lesser. n 1.– ‒ Hardenbergs Leben u. Wirken als Staatsmann. 1. Aufl. (276) Berlin 1864, Fahlisch. –.80 ‒ Karl Gustorf. Historischer Roman aus dem Leben eines deutschen Demagogen. 2 Bde. 1. Aufl. (574) Berlin 1862, Förster. 7.50 ‒ Mütter berühmter Männer. (12 Hefte) 8. (695) Leipzig 1877, Richter. 2. Aufl. 1. Bd. (866) à Heft –.75, kompl. geb. n 10.–",Blaschnik-Arndt Fanny,"Berlin W. Steinmetzstr. 1, geboren den 16. Dezember 1827 in Berlin, erhielt eine vorzügliche Erziehung und Ausbildung, die sich besonders auf fremde Sprachen, Musik und Zeichnen erstreckte. Der nur auf die häusliche Thätigkeit gerichtete Sinn der Mutter widerstrebte allen auf Frauenemancipation abzielenden Bestrebungen, und setzte sich darum auch einer litterarischen Beschäftigung der Tochter auf das Entschiedenste entgegen. Erst nach der Mutter Tode, als sie das 30. Lebensjahr schon überschritten, begann Fanny Arndt ihre schriftstellerische Thätigkeit mit einem Roman, trieb dann Geschichtsstudien und stellte sich schliesslich vorzugsweise in den Dienst der vaterländischen Geschichtsschreibung. Später, zur Zeit der Gründung des jungen italienischen National-Staates, veröffentlichte sie die Biographieen von Männern und Frauen italienischer Patrioten, und erwarb sich dadurch die Auszeichnung eines Dankschreibens des römischen Munizipios. Auch war sie lange Iahre hindurch Mitarbeiterin an der »Vossischen Zeitung« (Sonntags-Beilage), der »Gartenlaube«, dem Schönleinschen Verlag in Stuttgart und anderen Blättern. Während eines längeren Werke s. Fanny Arndt.",,Stein,Stuttgart,Rom,Berlin,Rom,,,,,,,,,,,,,,,,,,,,,
138520151,Arndt Pauline,Arndt,Pauline,,,Kotelow,"Newark, NJ",1833-03-18,1915-04-13,"Arndt, Pauline. Ne Dörpun Lewsgeschicht. 8. (200) Ludwigslust 1869, Hinstorff. n 2.–",‒ Up Hohenmüren over Anna Werner. 8. (168) Ebda. 1869. n 1.50,,,,Ludwigslust,,,,,,,,,,,,,,,,,,,,,,,,,
116344407,Arndts Bertha,Arndts,Bertha,,,Arnsberg,Wien-Hütteldorf,1809-12-09,1859-05-10,"Arndts, Bertha, geboren den 9. Dezember 1809 zu Arnsberg, Westfalen, gestorben den 10. Mai 1859 in Hütteldorf bei Wien.",‒ Aus dem Nachlass einer Verstorbenen. Hrsg. v. Fr. Hurter. 1860. ‒ Gedichte. In Musik gesetzt v. Maria Arndts. (Ohne Jahr.) ‒ Sonette der Vittoria Colonna mit deutscher Übersetzg. 2 Bde. 1858.,Arndts Mariarndts Maria,"geb. Vespermann.eb. Vespermann, geboren den 5. April 1823 in München, gestorben den 23. Mai 1882 ebenda. 1. Die Schule Murillos. Drei Bilder aus Raphaels Jugendleben. (77) –.70 2. Ein Passionsspiel. (102) –.90 3. Ostern. (72) –.60 4. Mozart als Ehestifter. –.60","‒ Dasselbe. 2. Aufl. 16. (107) Paderborn 1890, Esser. geb. m. Goldschn. n 2.– ‒ Dramen für das christliche Haus. 16. (V, 86) (1864) 1869 Wien, Sartori. à n –.60, 1–4 geb. n 2.80 Dramen für das christliche Haus. 4 Bdchn. 16. Wien 1864, 1869, Sartori. 1–4: 2.80",Wien,Arnsberg,Hütteldorf,München,,,,,,,,,,,,,,,Italienisch,,,,,,,
118973088,Asenijeff Elsa,Asenijeff,Elsa,,,Wien,Bräunsdorf (Oberschöna),1867-01-03,1941-04-05,"Asenijeff, Elsa. Ist das die Liebe? Kleine psychol. Erzählen, u. Betrachtungen. 2. Aufl. 8. (VII, 143) Leipzig 1896, W. Friedrich. n 2.–",,,,,Leipzig,,,,,,,,,,,,,,,,,,,,,,,,,
116361492,Asmus Martha,Asmus,Martha,,,Pillkallen,,1844-06-20,1910-01-28,"Asmus, Frl. Martha, Berlin W., Kleiststr. 3, ist am 20. Juni 1844 in Pillkallen in Ostpreussen geboren. Ihren Vater, der Kreisphysikus in Pillkallen war, verlor sie schon im Jahre 1846, und wurde nun von ihrer einer alten pommerschen Familie entstammenden Mutter mit ihren vier Geschwistern in Pommern erzogen. Später lebte sie lange Zeit mit ihrem Bruder, Docenten der Philosophie in Halle a. S., zusammen. Zwei Jahre hielt sie sich in Paris, wohin sie später noch öfter ging und in England auf, um die Nationen kennen zu lernen. Seit 1885 wohnt sie in Berlin. Ihre Novellen finden sich in verschiedenen Blätternsie sind vorwiegend moderner Richtung, aber auch philosophische Artikel, Jugendgeschichten und Gelegenheitsgedichte hat sie verrasst.","‒ Ich gratuliere! Gelegenheitsgedichte. 16. (VII, 102) Stuttgart 1893, Greiner & Pfeiffer. n 1.–",,,,Halle a. S.,Halle,Paris,Berlin,Hall,,,,,,,,,,,,,,,,,,,,,
117765716,Astl-Leonhard Anna,Astl-Leonhard,Anna,,,Brünn,,1860-07-12,1924-04-29,"Astl-Leonhard, Frau Anna, geb. Vogel, Wien XVIII, 1, Michaelerstrasse 31, Ps. A. Vogel vom Spielberg, wurde am 12. Juli 1860 zu Brünn in Mähren, als Tochter des dort an der k. k. Oberrealschule als Professor wirkenden und auch durch vaterländische Dichtungen (Epen) bekannt gewordenen Dichters Hilarius Vogel geboren. Im Jahre 1870 siedelte sie infolge einer Berufung ihres Vaters nach Wien über, wo sie zur Zeit noch lebt. Sie bildete sich zur Lehrerin aus, wandte sich dann aber der Bühnenlaufbahn zu, die sie schliesslich mit dem Schriftstellerberufe vertauschte. Sie vermählte sich im Jahre 1884 mit dem Redakteur Hugo Astl-Leonhard, dem Verfasser des kürzlich erschienenen philosophischen Werkes »Ein deutsches Testament«, das in seinem ersten Teile: »Die Natur als Organismus« vorliegt. Eine Anhängerin der modernen Schule ist Anna Astl-Leonhard für die verschiedensten Zeitungen und Zeitschriften thätig. Werke s. A. Vogel vom Spielberg.",,,,,Wien,Brünn,,,,,,,,,,,,,,,,,,,,,,,,
116214678,Augusti Bertha,Augusti,Bertha,,,Köln,Koblenz,1827-06-02,1886-12-12,"Augusti, Bertha, s. auch B. Schoeler.","‒ Elisabeth. Erzählg. für junge Mädchen. 8. (133 m. 4 Chromol.) Stuttgart 1888. Südd. Verlags-Institut. n 3.– ‒ Erinnerungsblätter aus dem Leben einer deutschen Frau. 8. (142) Köln 1887, A. Ahn. n 2.– ‒ Feldblumen. Ein Novellenstrauss. 3 Bde. 8. (910) Leipzig 1872, M. Schäfer. 13.50 ‒ Lebensmosaik. Nov. 2. Aufl. 8. (191) Stuttgart (1878) 1881, Hallberger. n 3.–, geb. 4.– ‒ Licht und Schatten. Erzhlg. 3 Bde. Früher: Hinricus Fischer Nachf. Norden, jetzt Dresden, Gerh. Kühtmann.",Augusti Bertha,"geb. Schoeler, geboren am 2. Juni 1827 zu Köln, gestorben am 12. Dezember 1886 in Koblenz. Werke s. Bertha Augusti u. B. Schoeler. Band I. und II.",,Köln,Koblenz,,,,,,,,,,,,,,,,,,,,,,,,
