gnd,surname,prename,name_complete,place_of_birth,place_of_death,date_of_birth,date_of_death,alternative_1,biography_alternative_1,bibliography_alternative_1,alternative_2,biography_alternative_2,bibliography_alternative_2,alternative_3,biography_alternative_3,bibliography__alternative_3,alternative_4,biography_alternative_4,bibliography_alternative_4,alternative_5,biography__alternative_5,bibliography_alternative_5
1055113584,Adelmi,Mario,Adelmi Mario,.,.,1847,.,Steinrück Melanie,"Ps. Mario Adelmi, Nürnberg, Hauptmarkt 2, geboren am 10. Juli 1849 in Leipzig. Ihr Vater war der Versicherungsdirektor Schultze, ihre Mutter eine geborne Französin. Als Kind lernte sie französisch und englisch. Nach dem Tode des Vaters zog die Mutter nach Basel; Melanie konnte sich jedoch in die dortigen Verhältnisse nicht eingewöhnen und fühlte sich sehr unglücklich. Auf ihr Bitten verlegte ihre Mutter den Wohnsitz nach Freiburg in Breisgau. Nachdem Melanie kürzere Zeit als Erzieherin wirkte, wurde ihr die Stelle als Vorsteherin der Bassinbäder in Badenweiler angeboten, die sie annahm und 10 1/ 2 Iahr innehatte. Sie verheiratete sich mit dem Zeitungsherausgeber Steinrück in Freiburg i. B. Anfänglich war die Ehe sehr glücklich. Das Verhältnis änderte sich aber nach der Übersiedelung nach Nürnberg und nun geht die Ehe nach dreizehnjährigem Bestande ihrer Auflösung entgegen. Das einzige Kind aus dieser Ehe, ein hochbegabter elfjähriger Knabe, verbleibt der Mutter. M. St. verfasste schon als Kind, meist auf dem Schulweg, ihre ersten Gedichte. Ihre erste Novelle: »Miss Alice« schrieb sie in Freiburg. Dieselbe erschien im Oberrheinischen Kurier. Bis zu ihrer Verheiratung hat sie gegen zwanzig grössere Romane und Novellen geschrieben. Ein Lustspiel: »Emil Wilfried« aus ihrer Feder gelangte 1886 am Nürnberger Stadttheater zur Aufführung. Die unerquicklichen Eheverhältnisse verhinderten sie zu schreiben und so ruhte die Feden 10 Iahre lang. Erst vor drei Iahren begann sie ihre litterarische Thätigkeit von neuem. Ihr »König Drosselbart«, eine Kinderkomödie, fand während der letzten zwei Iahre am Nürnberger und Fürther Stadttheater eine Reihe von Aufführungen. Eine weitere Märchendichtung: »Der geraubte Werke s. Mario Adelmi.",.,.,.,.,.,.,.,.,.,.,.,.,.
1030040192,Adelung,Friederike,Adelung Friederike,Stettin,.,1783-11-02,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
116007664,Adelung,Sophie von,Adelung Sophie,Stuttgart,Stuttgart,1850-03-11,1927-06-15,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
121730026,Adler,Emma,Adler Emma,Debrecen,Zürich,1858-05-20,1935-02-23,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
11646853X,Adler,Frl. Helene,Adler Helene,.,.,1849,1922,Adler Helene,"»Fridde uff Erde!« Ääne Gardinepreddigt v. Settche Hampelmann, Borgersfrää in Frankfort am määan. Die 6 Grossmächt in ohrjendalisch-ochsidendalische Ungelegenheite. 8. (15) Frankfurt a. M. 1897, Gebr. Staudt. –.30 Siehe auch Band I.",.,.,.,.,.,.,.,.,.,.,.,.,.
127627510,Adolphine,Tante,Adolphine Tante,.,.,1829-07-24,1897,Breithaupt Adolphine,"Breithaupt, Adolphine, Ps. Adolphine und Tante Adolphine, geboren am 24. Juli 1829 in Neuruppin, schrieb zumeist Jugendschriften und wohnte in Charlottenburg. Sie ist 1897 gestorben. Werke s. auch Tante Adolphine.","‒ Das goldene Buch der Frau. Ein Freund u. Berater in allen Verhältnissen des Lebens. 8. (180) Chemnitz 1894, B. Richters Verl. geb. in Leinw. 3.– ‒ Der deutschen Jugend frohe Stunden. Märchen, Lieder u. Geschichten f. Knaben u. Mädchen. 8. (162 m. e. Farbendr.) Borna, 1890, Leipzig, A. Iahnke geb. 3.– ‒ Die deutsche Frau in Küche und Keller. Kochbuch. 8. (367) Chemnitz 1892, B. Richter. geb. n 4.–, auch in 10 Lfgn. à –.30 ‒ Die Feldküche nach neuer Reform. Ein Handbuch f. den deutschen Soldaten im Quartier, Bivouac u. Felde, sowie f. Garçons, Touristen u. Iäger. 8 (157) Berlin 1884, Stahn. In Leinw. kart. n 2.– ‒ Mutterpflicht u. Kindespflege. Weihegeschenk aus Mutterhand f. Deutschlands Frauen u. Bräute. 8. (168) Berlin, Chemnitz 1882, B. Richter, geb. in Leinw. n 3.– ‒ Wie wird sie ihn finden? Rom. aus der Neuzeit, e. Begebenheit nacherzählt. 8. (252) Chemnitz 1895, Ebda. 3.–, geb. n 4.–",.,.,.,.,.,.,.,.,.,.,.,.
101876240X,Agnes,Pauline Luise Agnes,Agnes Pauline Luise Agnes,Carlsruhe (Oberschlesien),Gera,1835-10-13,1886-07-10,Hohenstein Angelica,"Pseudonym für Agnes Fürstin Reuss j. L., geboren den 13. Oktober 1835 zu Karlsruhe, gestorben den 10. Juli 1886 auf Schloss Osterstein bei Gera.","‒ Aus schönen Stunden. Acht Bilder. 16. (224) Gütersloh 1878, Bertelsmann. n 2.– ‒ Der Segen der Grossmutter. (Familienbild.) 2 Bde. 1880. ‒ Helene. Erzählg. 1867.",.,.,.,.,.,.,.,.,.,.,.,.
116145110,Agnes,Tante,Agnes Tante,Coburg,.,1828,1899,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
116009764,Ahlborn,Luise,Ahlborn Luise,.,.,1834-03-14,1921-07-30,Ahlborn Luise,"geb. Jaeger, Ps. L. Haidheim, Hannover, geboren den 14. Mai 1834 zu Melle in Osnabrück als Tochter eines Justizbeamten, wurde von ihrem talentvollen Vater und von Hauslehrern unterrichtet. Schon als Kind fühlte Luise einen unwiderstehlichen Drang zum Dichten und Fabulieren, aber erst in den reiferen Iahren entstanden ihre grösseren Romane. Im Iahre 1855 vermählte sie sich mit dem Gutsbesitzer und Oberamtmann Ahlborn, welcher jedoch bald starb. Als Witwe siedelte sie nach Hannover über. Werke s. L. Haidheim. Band I.",.,.,.,.,.,.,.,.,.,.,.,.,.
118962590,Ahlefeld,Charlotte von,Ahlefeld Charlotte,.,.,1781-12-06,1849-06-27,Selbig Elise,s. Charlotte v. Ahlefeld. (Nachtrag.),.,Selbig Natalie,s. Charlotte v. Ahlefeld. (Nachtrag.),.,.,.,.,.,.,.,.,.,.
1035567520,Ahlefeldt,Henriette,Ahlefeldt Henriette,Hamburg,Hamburg,1805,1870,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1035571773,Airoldy,Baronin Emilie,Airoldy Emilie,Wien,Mailand,1837,1900,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
155409921,Akermann-Hasslacher,Frau Bertha,Akermann-Hasslacher Bertha,Wolfegg,.,1840-12-05,1904,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
118878484,Al Raschid Bey,Madame,Al Raschid Bey,Weimar,Augsburg,1859-11-22,1940-03-26,Böhlau Helene,Biographie s. Madame Al Raschid Bey.,"‒ Altweimarische Liebesund Ehegeschichten. Stuttgart 1897, I. Engelhorn. –.50 geb. –.75 ‒ Das Recht der Mutter. Rom. 8. (377 m. Bildnis) Berlin 1896, F. Fontane & Co. n 6.–. ‒ Der Rangierbahnhof. Rom. 2. Aufl. 8. (318) Ebda. n 4.–; geb. 5.– ‒ Der schöne Valentin. Die alten Leutchen. 2 Nov. 8. (286) Berlin 1886, Paetel. n 5.–; geb. nn 6.50 ‒ Herzenswahn. Rom. 8. (180) Minden 1888, Bruns n 3.60 ‒ Im Trosse der Kunst u. andere Nov. 8. (240) Ebda. 1889. n 3.60; geb. n 4.60 ‒ In frischem Wasser. Rom. in 2 Bdn. 8. (286) Stuttgart 1891, I. Engelhorn. à n –.50; geb. à n –.75 ‒ Novellen. (Im Banne des Todes. Salin Kaliske. Maleen.) 8. (309) Berlin 1882, Hertz. n 5.–; geb. n 6.– ‒ Ratsmädelgeschichten. 4. Aufl. 8. (VIII, 260 m. 1 Bildnis) Minden 1897, I. C. C. Bruns n 3.60; geb. n 4.60 ‒ Ratsmädel u. Altweimarische Geschichten. 8. (159) Stuttgart 1897, I. Engelhorn. –.50; geb. –.75 ‒ Reines Herzens schuldig. Rom. 8. (378) Minden 1888, I. C. C. Bruns. n 6.–",Böhlau Helene,"Verspielte Leute. Stuttgart 1898, I. Engelhorn. –.50 Biographie u. Werke s. Band I.",.,.,.,.,.,.,.,.,.,.
118729993,Albert,Annie,Albert Annie,.,"New York, NY",1866-04-14,1936-10-20,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1228555303,Alberti,Friederike,Alberti Friederike,Neubrandenburg,Neubrandenburg,1842-12-10,1928-03-14,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
116279028,Alberti,Sophie,Alberti Sophie,Potsdam,Potsdam,1826-08-05,1892-08-15,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
101046588,Alexandra,Amalia,Alexandra Amalia,Aschaffenburg,München,1826-08-26,1875-05-08,Alexandra Amalie,"Bayern, Alexandra Amalie, Prinzessin von, geboren den 26. August 1826 zu Aschaffenburg, gestorben den 8. Mai 1875 in München.",‒ Feldblumen. Erzählg. 1856. ‒ Weihnachtsrosen. Erzählg. 1858.,.,.,.,.,.,.,.,.,.,.,.,.
117760838,Algenstädt,Luise,Algenstädt Luise,Wattmannshagen,Güstrow,1861-05-08,1947-05-26,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
116226099,Alice,Tante,Alice Tante,Jelgava,Dorpat,1840-11-28,1923-10-10,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1076742890,Allan,George,Allan George,Greifswald,Berlin,1852-01-04,1916-07-18,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
117761249,Allesch,Frau Elly,Allesch Elly,Bernburg (Saale),Goslar,1853-07-01,1944-04-03,Reuss Elly,Biographie s. E. Allesch. Werke s. auch E. Relly.,"‒ Erreichte Ziele. Familien-Rom. 2 Bde. Neue Ausg. (263 u. 238) Wolfenbüttel 1887, I. Zwissler. geb. n 1.–",.,.,.,.,.,.,.,.,.,.,.,.
126305358,Allestein,Emma,Allestein Emma,Gera,Gera,1810,1873-06-01,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
117337501,Almasy,Gräfin,Almasy Wilhelmine,Buda,Gries (Bozen),1845-04-08,1890-01-22,Almásy Wilhelmine,"Almásy, Wilhelmine, Gräfin von, s. Wilhelmine Gräfin Wickenburg-Almasy. Band II.",.,Wickenburg-Almásy Wilhelmine,"geboren den 8. April 1845 in Ofen, gestorben den 23. Januar 1890 in Gries bei Bozen.","‒ Das Dokument. Schausp. in 3 Akten. ‒ Der Graf von Remplin. Eine Erzählg. in Versen. 16. (92) Wien 1874, Rosner. 2.40 ‒ Ein Abenteuer des Dauphin. Lustsp. 8. (23) Wien 1881, Künast. 1.20 ‒ Emanuel d'Astorga. Erzählendes Gedicht. 2. Aufl. 16. (100) Heidelberg 1875, Weiss. geb. 3.– ‒ Erlebtes u. Erdachtes. Gedicht. 8. (171) Ebda. 1873. 3.–; geb. 4.– ‒ Gedichte. 3. Aufl. 12. (310) Wien 1882, Gerolds Sohn 5.20 ‒ Letzte Gedichte. Aus dem Nachlasse der Verstorbenen, hrsg. von ihrem Gatten. 12. (244) Ebda. 1890. 3.– ‒ Marina. Ein erzählendes Gedicht. 16. (242) Heidelberg 1876, Weiss. 3.60; geb. m. Goldschn. 4.60 ‒ Neue Gedichte. 16. (134) Wien 1869, Gerolds Sohn. 3.– ‒ Radegundis. Dramatisches Gedicht in 1 Aufzuge. 16. (66) Wien 1879, Rosner. 1.60",.,.,.,.,.,.,.,.,.
117761354,Almers,Erna,Almers Erna,.,.,1841-04-09,.,Almers Erna,"für Frl. E. B., p. Ad. H. Vogel, Kassel, Wilhelmstrasse 17, geboren am 3. April 1841 zu Kassel als Tochter des Malers und Professors E. B. an der Akademie bildender Künste. Sie erhielt ihren Unterricht in einer der ersten Schulen ihrer Vaterstadt, welcher durch ein schweres Augenleiden nur allzu häufig unterbrochen werden musste. Fast erblindet und der Aussenwelt dadurch entfremdet, lebte sie mehr ein inneres Leben und ihre reiche Phantasie, der sie in sinnigen Gedichten Ausdruck gab, entschädigte sie für die Entbehrungen, die ihr Leiden mit sich brachte. Ihre dichterische Begabung fand jedoch bei ihrer Familie keine Anerkennung und dieselbe bot alles auf, das poetische Talent Ernas zu unterdrücken. Das junge Mädchen jedoch fühlte die Liebe zur Poesie immer mächtiger in sich werden, je mehr man ihr diese zu verleiden suchte und fand schliesslich kein Unrecht dabei, hin und wieder die Erzeugnisse ihrer Muse in Tagesblättern zu veröffentlichen, was natürlich nur unter einem Pseudonym geschehen konnte. Nach Iahr und Tag, nachdem eine bedeutende Besserung ihres Augenleidens eingetreten war, wurde es ihr durch die Hilfe einer Freundin endlich möglich, einen Teil ihrer gesammelten Lieder und Sprüche unter dem Titel »Herzensblüten« erscheinen zu lassen.","‒ Herzensblüten. Gedichte u. Sinnsprüche. 16. (126) Kassel 1895, Ernst Hühn. geb. 2.–",.,.,.,.,.,.,.,.,.,.,.,.
1047261111,Alt,Helene,Alt Helene,Mannheim,.,1850,1913,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1017668108,Alt,Louise,Alt Louise,.,.,1859,1941,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
116294051,Althaber,Wilhelmine,Althaber Wilhelmine,.,.,1841,1917,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1164385046,Althof,Paul,Althof Paul,.,.,1869,1944,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
139437754,Altmann,Frl. Ida,Altmann Ida,.,Berlin,1862-06-30,1935-11-30,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
116296496,Amadei,Gräfin Anna,Amadei Anna,Budapest,Wien,1828-03-05,1927-02-22,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1306475813,Amalie,Herzogin von Sachsen,Amalie,Weikersheim,Pfedelbach,1837-07-08,1872-12-22,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
116999071,Amalie,Prinzessin,Amalie Amalie,.,.,1773,1815,Amalie Amalie,"Amalie, Prinzessin von Sachsen (Amalie Heiter). Die Stieftochter. Lustsp. m. engl. Anmerkgn. versehen v. W. Fiebig. 8. (136) Gera 1879, Amthor. n 1.–","‒ Original-Beiträge zur deutschen Schaubühne. V. Die Unbelesene. Lustsp. – Pflicht u. Liebe. Schausp. – 8. (380) Dresden 1841, Arnoldische Buchh. kart. à 7.– Zum Besten des Frauenvereins in Dresden.",Amalie Amalie,Bilder aus der Märchenwelt. 2. Aufl. 16. (126). Darmstadt 1864. Köhler's Verl. cart. n – 20; geb. 1.–,"‒ Eglantine. Rom. 1852. ‒ Frühling-, Sommer-, Herbstu. Winterliebe. 1853. ‒ Moderne Wohlthätigkeit. Erzählg. 2. (Titel-) Aufl. 8. (152) (1883) 1896. Dresden, H. Minden. Die 1. Aufl. erschien anonym. n 2.–",.,.,.,.,.,.,.,.,.
1065065310,Amalie,Tante,Amalie Tante,.,Halle (Saale),1856-12-03,1929-12-17,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
115573704,Amanda,Tante,Amanda Tante,.,.,1819-03-22,1900,Hoppe-Seyler Amanda,"Ps. Tante Amanda, Dresden-Striesen, C. Str. I I, geboren in Freyburg a. U. am 22. März 1819. Werke s. auch Tante Amanda.","‒ Elisen-Hain. 8. (215) Berlin 1861, Beck. n 3.–",.,.,.,.,.,.,.,.,.,.,.,.
126307024,Amerlan,Frl. Frieda,Amerlan Frieda,Angermünde,.,1841-02-19,1924-08-01,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
116303336,Ancel,Marie,Ancel Marie,.,.,1792,1856,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
116975024,Andow,Paul,Andow Paul,.,Wien,1835-04-08,1898-07-14,Halm Margarete,Aus der Dornenhecke. 2. Aufl. In Vorbereitung. S. auch Band I.,‒ Der verwunschene Prinz. In Vorbereitung. ‒ Ewige Jugend. In Vorbereitung.,Halm Margarethe,Biographie s. Alberta von Maytner.,"‒ Aus der Dornenhecke. Metaphysische Gedichte. 12. (102) Dresden-Striesen 1882, Heinze. Vorgriffen. n 1.80; geb. m. Goldschn. n 3.– ‒ Das Spottgedicht. Lustsp. 1 Akt. (16) Leipzig 1889, Anthropolog. Hausbuchverlag. ‒ Die Liebe des Übermenschen. Ein neues Lebensgesetz. Briefe an e. Freund. 8. (42) Leipzig 1897, M. Spohr. n 1.– ‒ Ein weiblicher Prometheus. Liebesrom. a. d. Gegenwart. 3 Bde. 8. (558) Leipzig 1885, Reissner. Vergriffen. n 6.– ‒ Frau Holdings Herz. Die Geschichte e. Familie. 2. Aufl. 8. (140) Dresden 1895, E. Pierson. n 2.–; geb. n 3.– ‒ Vom Baum des Lebens. Phantasieen e. Idealistin. 12. (56) Leipzig 1897, Litterarische Anstalt, A. Schulze. n 1.– ‒ Wetterleuchten. Skizzen u. Essays. 8. (106) Leipzig 1877, Wartigs Verlag. 1.50",.,.,.,.,.,.,.,.,.
137818459,Andrä,Louise,Andrä Louise,Stockholm,Stockholm,1828-08-06,1912-12-23,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1018360794,Andreä,Nanette,Andreä Nanette,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
117763519,Andrea,Silvia,Andrea Silvia,Zuoz,Castasegna,1840-03-22,1935-03-04,Andreae Johanna,"Märchen von der Katzenfamilie. 8. (IV, 131) Frankfurt a. M. 1861. Liter.-Anstalt. n 2.–",.,Garbald-Gredig Johanna,"Ps. Silvia Andrea, Castasegna in Graubünden, Schweiz, geboren am 22. März 1840 in Zuoz im Oberengadin als Tochter eines Lehrers, ist Romanin von Geburt. Ihr Vater pflegte mit grosser Vorliebe die dort viel gebrauchte romanische Sprache, unterrichtete jedoch seine Tochter auch in den Anfängen der deutschen Sprache. Mit ihrem 15. Iahre kam sie in ein deutsches Institut nach Chur, woselbst ihr das Gebiet der deutschen Litteratur erschlossen wurde, in das sie sich mit wahrer Liebe und Begeisterung vertiefte. Als sie 21 Iahre alt war, heiratete sie und kam ins Bergell, eine italienische Thalschaft an der Grenze Italiens, wo sie seit 33 Iahren lebt. 16 Iahre lang blieb ihre Ehe kinderlos und in dieser Zeit fand sie Musse, sich weiter auszubilden und ihrer litterarischen Neigung zu leben. In der Umgebung zweier so verschiedener Volkstämme, Italiener und Schweizer, fand sie auch eine Fülle von Wahrnehmungen, die ihr viel Anregung boten und auf sie selbst nicht ohne Einwirkung blieben. Ihre meisten Werke entstammen der kinderlosen Ehezeit. Auch später, nachdem sie noch Mutter von zwei Knaben und einem Mädchen wurde, blieb sie ihrer litterarischen Thätigkeit treu. Gegenwärtig ist sie Mitarbeiterin an mehreren schweizerischen Zeitschriften. Werke s. auch Silvia Andrea.","‒ Erzählungen aus Graubündens Vergangenheit. 8. (543) Glarus 1889, B. Vogel. 4.–; geb. 5.20 ‒ Faustine. 8. (320) Ebda. 1890. 3.60; geb. 4.80 ‒ Wilhelm Teil. 8. (157) Frauenfeld 1891, I. Huber. geb. 2.40",Silvia Andrea,Biographie und Werke s. Johanna Garbald-Gredig.,"‒ Wilhelm Tell. Histor. Erzählg. 8. (157) Frauenfeld 1891, I. Hubers Verlag. 2.–; geb. 2.40",.,.,.,.,.,.
1049184726,Andreä,Wilhelmine,Andreä Wilhelmine,.,.,1792,1849,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
118502921,Andreas-Salomé,Frau Lou,Andreas-Salomé Lou,Sankt Petersburg,Göttingen,1861-02-12,1937-02-05,Salomé Lou,s. Lou Andreas-Salomé.,.,.,.,.,.,.,.,.,.,.,.,.,.
11887912X,Andresen,Frau Stine,Andresen Stine,.,.,1849-09-23,1927-05-13,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
137665849,Anger,Clara,Anger Clara,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
11776292X,Anhuth,Clara,Anhuth Clara,.,.,1856-01-03,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
138454027,Anjel,Ella,Anjel Ella,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
116031735,Anklam,Frl. Luise,Anklam Luise,Anklam,.,1865-02-18,.,Anklam Luise,"Kindergeschichten für Knaben u. Mädchen. 8. (208 m. Illustr.) Frankfurt a. O. 1897, H. Andres & Co. geb. 3.– Siehe auch Band I.",.,.,.,.,.,.,.,.,.,.,.,.,.
1012535169,Anna,Tante,Anna Tante,.,Itzehoe,1814-06-05,1927-03-16,Claussen Anna,Briefe einer Predigertochter. 1870.,"‒ Magdalena Steffens. Eine Erzählg. f. d. Volk. 16. (148) Basel 1879, Spittler. n –.80 ‒ Nach der goldnen Stadt. Erzählg. 8. (102.) Ebda. 1893. 1.– ‒ Siebengestirne. Der Matrose u. sein Findling. 8. (99) Leipzig 1895, Akademische Buchhandlung. 1.– ‒ Simon der Jude od. lange ersehnt, endlich gefunden. 4 Erzählgn. 12. (150) Norden 1882, Soltau. –.50",Claussen Henriette Auguste Anna,"Ps. Tante Anna, Itzehoe, Holstein, geboren den 5. Juni 1814 in Tetenbüll (Eiderstedt). Dort war ihr Vater Pastor C. Claussen zweiter Prediger, 1825 wurde er in Haseldorf zum Pastor gewählt und starb hier 1859. Bis zu ihrer Einsegnung erhielt Anna von ihrem Vater Unterricht, später im Französischen und Englischen in Altona. Nach dem Tode ihres Vaters zog Anna mit ihrer Mutter nach Itzehoe, Holstein, wo nach dem Tode ihrer Mutter die litterarische Thätigkeit begann. Ihre erste Erzählung »Ein Leben im Schatten« brachte das »Töchteralbum«. Im Iahre 1870 erschienen bei Perthes in Gotha »Briefe einer Predigertochter« ohne Nennung ihres Namens, dann folgten viele Erzählungen, Gedichte, kürzere und längere Aufsätze, sowie Übersetzungen in verschiedenen Zeitschriften, und Briefe über Naturgeschichte und Wanderungen durch die Sternenwelt unter dem Pseudonym Tante Anna. A. Claussen stellte meist ihre Feder in den Dienst der Judenmission. Jetzt lebt die geistesfrische Dichterin in der Nähe ihrer Geschwister als Tante, Grossund Urgrosstante. Da ihre Augen geschwächt sind, kann sie sich nicht mehr der Schriftstellerei widmen, aber ihre Hände sind nicht müssig, sie beschäftigen sich mit Stricken und Spinnen. Werke s. Anna Claussen. Band I.",.,.,.,.,.,.,.,.,.,.
118503200,Anneke,Mathilde Franziska von,Anneke Franziska Mathilde,Hiddinghausen (Sprockhövel),"Milwaukee, Wis.",1817-04-03,1884-11-25,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1035685868,Anschel,Julie Philippine Clara,Anschel Philippine Julie Clara,Helmstedt,Helmstedt,1780-09-23,1826-09-30,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
117764167,Ansion Hasatty,Kunigunde,Ansion Hasatty,.,.,1863-05-25,1922-11-16,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1035711362,Antoni,Johanna Eleonore,Antoni Eleonore Johanna,Świdnica,Świdnica,1762,1843,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
116317442,Arbter,Emma Wanda von,Arbter Emma Wanda,Leoben,Wien,1819-10-26,1858-12-19,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
138677360,Arendt-Morgenstern,Frau Olga,Arendt-Morgenstern Olga,.,.,1859,1902,Morgenstern Olga,Biographie und Werke s. Olga Arendt-Morgenstern.,.,.,.,.,.,.,.,.,.,.,.,.,.
1036654591,Arens von Braunrasch,Frau Gerichtsrat Auguste,Arens von Braunrasch Auguste,Mainz,Wiesbaden,1824,1902,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
116342692,Arndt,Fanny,Arndt Fanny,Berlin,Berlin,1827-12-16,1906-11-01,Blaschnik-Arndt Fanny,"Berlin W. Steinmetzstr. 1, geboren den 16. Dezember 1827 in Berlin, erhielt eine vorzügliche Erziehung und Ausbildung, die sich besonders auf fremde Sprachen, Musik und Zeichnen erstreckte. Der nur auf die häusliche Thätigkeit gerichtete Sinn der Mutter widerstrebte allen auf Frauenemancipation abzielenden Bestrebungen, und setzte sich darum auch einer litterarischen Beschäftigung der Tochter auf das Entschiedenste entgegen. Erst nach der Mutter Tode, als sie das 30. Lebensjahr schon überschritten, begann Fanny Arndt ihre schriftstellerische Thätigkeit mit einem Roman, trieb dann Geschichtsstudien und stellte sich schliesslich vorzugsweise in den Dienst der vaterländischen Geschichtsschreibung. Später, zur Zeit der Gründung des jungen italienischen National-Staates, veröffentlichte sie die Biographieen von Männern und Frauen italienischer Patrioten, und erwarb sich dadurch die Auszeichnung eines Dankschreibens des römischen Munizipios. Auch war sie lange Iahre hindurch Mitarbeiterin an der »Vossischen Zeitung« (Sonntags-Beilage), der »Gartenlaube«, dem Schönleinschen Verlag in Stuttgart und anderen Blättern. Während eines längeren Werke s. Fanny Arndt.",.,.,.,.,.,.,.,.,.,.,.,.,.
138520151,Arndt,Pauline,Arndt Pauline,Kotelow,"Newark, NJ",1833-03-18,1915-04-13,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
