gnd,werk
126305358,"Kleines Kochbuch f. angehende Köchinnen u. kleinere Wirtschaften. Auszug aus dem grösseren Werke d. Verfasserin: Das beste bürgerl. Kochbuch 1. Aufl. 1869, 2. Aufl. 8. (188) Düsseldorf 1885, Voss & Co. n 1."
117761354,"Herzensblüten. Gedichte u. Sinnsprüche. 16. (126) Kassel 1895, Ernst Hühn. geb. 2."
116294051,"Vom Irrwege zur Wahrheit. Mein Glaubensleben in Vergangenheit u. Gegenwart. 1. Aufl. 1893, 2. Aufl. 16. (IV, 48). Bonn 1895, P. Hanstein. n .50"
1164385046,"Coghetta, Nov. 8. (66) Berlin 1894, Freund & Iaeckel. 1."
1164385046,"Die Asolanen, Rom. 16. (111) Wien 1893, C. Daberkow. 2. geb. 3.40"
1164385046,"Gernrode, Poet. Erzählg. aus dem 10. Iahrh. 8. (80) Leipzig 1890. Lith. Anst. A. Schulze. n 1.65, geb. in Halbleinw. n 3., geb. in Halbleder n 3.50"
1164385046,Les habitants de la fleurette. 1890. Ebda.
1164385046,Schneeflocken. Märchen. 1890. Ebda.
139437754,"Die Grundsätze der freireligiösen Gemeinde zu Berlin. Besprochen v. A. (26. Ausg.) 1894. 8. (14) Berlin 1895, W. Rubenow in Komm. n .10"
139437754,"Hühnerweisheit, Lust u. Leid. Ein Märchen-Kleeblatt. 8. (48) Berlin 1896, A. Hoffmann. kart. .30"
116296496,Gedichte. 12. (248) Wien 1896. W. Frick. n 3.60
116999071,Eglantine. Rom. 1852.
116999071,"Frühling-, Sommer-, Herbstu. Winterliebe. 1853."
116999071,"Moderne Wohlthätigkeit. Erzählg. 2. (Titel-) Aufl. 8. (152) (1883) 1896. Dresden, H. Minden. Die 1. Aufl. erschien anonym. n 2."
1065065310,"ABC der Spielsachen. Spielzeug alt und neu, richtig in der Reih', nach dem Alphabet, in dem Büchlein steht. Mit 24 Bildern in Farbendr. auf 6 Taf. 4. (19) Ebda. kart. .75"
1065065310,Aus der Zauberwelt. Seltsame Geschichten f. Kinder von 510 Iahren. Mit 6 Farbendr.-Bildern. 4. (17) Ebda. kart. .75
115573704,"Elisen-Hain. 8. (215) Berlin 1861, Beck. n 3."
126307024,"Alte liebe Lieder. Eine anreg. gesellschaftl. Unterhaltg. f. junge Mädchen im Alter von 1416 Iahren. 12. (31 u. 243 Kärtchen) Leipzig 1882, Ruhl. In Karton n 2.25 ‒ »Am häuslichen Herd«. Praktisches Kochbuch. Mit 8 Farbentafeln, 9 Vollbildern u. vielen, kleineren Original-Illustrationen. 8. (500) Stettin 1897. Paul Niekammer. 6."
126307024,"Annemarie. Eine Erzählg. f. Iung u. Alt. 8. (35 m. 2 Bildern.) Berlin 1891, Schorss. n .25"
126307024,"Aus Urväter Tagen. Altnordisches Götterleben u. Heldentum, der Edda nacherzählt. Mit 7 Vollbildern v. Ioh. Gehrts. I. Aufl. 1890, 2. Aufl. 8. (IV, 249) Berlin 1891, H. I. Meidinger. n 3., geb. 4."
126307024,"Die kleine Heldin. Eine wahre Begebenheit aus dem amerik. Leben. Für Iung und Alt erzählt.  Nummer drei. Eine Erzählg. f. Iung und Alt. 8. (43 m. 3 Bildern.) Ebda. n .25 ‒ »Ersungen!« Eine Erzählg. f. junge Mädchen. 8. (175) Berlin 1886, Eckstein Nachf. n 2.50 geb. n 3.50"
126307024,"Fürs junge fröhliche Mädchenherz. Erzählgn., Märchen u. Gedichte. 1. Aufl. reich illustriert. 8. (235) Berlin 1890, Schorss."
126307024,"Kindergeschichten f. aufmerksame kl. Zuhörer von 47 Iahren. Mit 8 (chromolith.) Bildern v. L. Mühling, 3. Aufl. 4. (IV, 54) Glogau 1882, Flemming. geb. 2.25"
126307024,"Was Grossmutter erzählte, als Schmiede-Wilhelm durchaus nach Amerika wollte. Eine Erzählg. f. Iung und Alt. 8. (46 m. 2 Bildern.) Zur Verteilung an Schulen. Berlin 1891, Schorss. n .25"
117763519,"Wilhelm Tell. Histor. Erzählg. 8. (157) Frauenfeld 1891, I. Hubers Verlag. 2.; geb. 2.40"
1018360794,"Sammlg. von leicht ausführbaren Vorschriften zu den schönsten u. elegant. Strumpf-Rändern u. andern feinen Strickereien. Ein Hilfsbüchlein für das schöne Geschlecht. 2 Hefte. 2. verb. Aufl. 16. (89) Erfurt 1842, Hennings & Hopf. n .50"
118502921,"Aus fremder Seele. Eine Spätherbstgeschichte. 8. (154) Stuttgart 1897, I. G. Cotta Nachf. n 2., geb. 3."
118502921,"Friedrich Nietzsche in seinen Werken. 8. (263) Wien 1894, C. Konegen 6."
118502921,"Henrik Ibsens Frauengestalten nach seinen sechs Familien-Dramen: Die Frau vom Meere. Die Wildente. Ein Puppenheim. Gespenster. Hedda Gabler. Rosmersholm. Volks(Titel-)Ausg. 8. (III, 238) Berlin 1892, H. Lazarus. n 1.50"
118502921,"Ruth. Erzählg. 2. Aufl. 8. (304) Stuttgart 1897, I. G. Cotta Nachf. n 3.50, geb. 4.50"
11887912X,"Gesammelte Gedichte. Herausgegeben v. K. Schrattenthal, 3. Aufl. Mit Bild der Dichterin u. Textillustr. v. Max Kuchel. 8. (XV, 130) Bielefeld 1896. Schriften-Niederl. Bethel. n 2., geb. m. Goldschn. n 3."
116031735,"Kindergeschichten. Frankfurt a. O. 1898, Hugo Andres & Co. U. d. Presse."
117764167,"Die Kochkunst. 8. (852) Wien 1895, Wiener Mode. 6.; geb. 720"
117764167,"Verschiedene Geschichten. Erzählgn. u.a. 8. (296) 1. Aufl. 1891, 2. Aufl. 1895. Wien, Huber & Lahme. kart. n 2.40 "
138677360,"Dramatisiertes Märchenbilderbuch. 16. (53) Berlin 1891, Ed. Bloch. n 1."
138677360,"Ein Freundschaftstag. Lustsp. in 1 Akt. Ebda. 1894. n 1.50 ‒ »Für gesellige Kreise.« Sammlung ernster u. heiterer Deklamationsstücke, nebst einem Anh. v. Gelegenheitsgedichten. Mit einem Vorw. v. Minona-Frieb-Blumauer. 8. (358) I. Aufl. 1888, II. Aufl. 1897. Berlin, Rosenbaum & Hart, n 3.; geb. n 4."
138677360,"Sylvesternacht. Romantische Erzählg. 8. (III, 160) Berlin 1893, H. Walther. n 2.; geb. n 3."
116342692,"Der Frauen Anteil an der modernen Weltgeschichte. 1. Bd. 8. (236) Leipzig 1877, Richter. n 2.80, geb. n 3.80"
116342692,"Die deutschen Frauen in den Befreiungskriegen. 1. Bd. 8. (309) Halle 1868, Buchh. d. Waisenhauses. n 3., geb. 4."
116342692,"Ed. Hildebrandt, der Maler d. Kosmos. 2. Aufl. 8. (131) Berlin 1867, R. Lesser. n 1."
116342692,"Hardenbergs Leben u. Wirken als Staatsmann. 1. Aufl. (276) Berlin 1864, Fahlisch. .80"
116342692,"Karl Gustorf. Historischer Roman aus dem Leben eines deutschen Demagogen. 2 Bde. 1. Aufl. (574) Berlin 1862, Förster. 7.50"
116342692,"Mütter berühmter Männer. (12 Hefte) 8. (695) Leipzig 1877, Richter. 2. Aufl. 1. Bd. (866) à Heft .75, kompl. geb. n 10."
138520151,Up Hohenmüren over Anna Werner. 8. (168) Ebda. 1869. n 1.50
116344407,Aus dem Nachlass einer Verstorbenen. Hrsg. v. Fr. Hurter. 1860.
116344407,Gedichte. In Musik gesetzt v. Maria Arndts. (Ohne Iahr.)
116344407,Sonette der Vittoria Colonna mit deutscher Übersetzg. 2 Bde. 1858.
1049351363,"Das Eckhäuschen und seine Bewohner, oder Vertrauen auf Gott. 16. (154 mit 1 Steintaf.) Charlottenburg 1877. (Barmen, Klein. Berlin, Beck.) n .80"
1049351363,"Die Tochter des Arbeiters. Eine Geschichte für das deutsche Volk. 8. (135) Stavenhagen 1878, Beholtz. n 1."
116361492,"Ich gratuliere! Gelegenheitsgedichte. 16. (VII, 102) Stuttgart 1893, Greiner & Pfeiffer. n 1."
119376377,Fürst Hermann v. Pückler-Muskau. Eine Biographie. 8. (544) Hamburg 1872. Hoffmann & Campe. n 4.50
119376377,"Gräfin Elisa v. Ahlefeld, die Gattin Adolphs v. Lützow, die Freundin Karl Immermanns. 8. (351) Berlin 1857, F. Duncker. n 1.20"
119376377,"Pierro Cironi. 8. (332) Leipzig 1867, Matthes. n 4.50"
119376377,"Sophie v. La Roche, die Freundin Wielands. 8. (384) Berlin 1859, Ianke. 4.50"
118650769,Aus dem Leben einer Frau. 1847.
118650769,Tagebuch eines Freiwilligen des von Tannschen Corps. 1848.
1017906343,"Die Elberfelder Armenpflege u. die Frauen. 8. (24) Graz 1895, Styria in Komm. n .20"
1017906343,"Die Krankenpflege als Unterrichtsgegenstand. 8. (20) Graz 1877, A. Hesse, n .20"
1017906343,"Pro u. contra Vater Kneipp. 8. (19) Graz, Selbstverlag. n .20"
1017906343,"Sechs Vorträge üb. weibl. Krankenpflege. 2. (Titel-) Ausg. 8. (III, 184) Graz 1894, Leykam. n 1.20 ‒ Über den Wert der Allgemeinbildg. für die Frauen. 8. (22) Graz 1882, C. Huber. .20"
113665946,"Achtzig Stufen hoch. Rom. 4 Bde. 8. 2. Aufl. (1040) Stuttgart 1873. Deutsche Verlagsanstalt. 10.50, in 2 Leinwbdn. 12.50"
113665946,"Aufgelöste Dissonanzen. Nov. 2 Tle. in 1 Bd. 8. (336) Leipzig 1879, Schulze & Co. n 3."
113665946,"Das Herz auf dem rechten Fleck. Ein Kapitel aus dem Rom. eines jungen Mädchens. 8. (260) Ebda. 1879. n 4., geb. n 5."
113665946,"Das Leben kein Traum. Nov. 2 Bde. 8. (399) Dresden 1874, Baensch. n 7.50"
113665946,"Der liebe Gott geht durch den Wald. Nov. 4. Aufl. 16. (78) Leipzig 1889, Gracklauer. geb. m. Goldschn. n 3."
113665946,"Die barmherzige Schwester. 16. (59) Schwerin i. M. 1870, Hildebrand 1., geb. 2."
113665946,"Drei Novellen. 16. (438) Hamburg 1862, Boyes & Geisler. 5., geb. 6."
113665946,"Fussstapfen im Sande. Rom. 4 Bde. 8. (1139) Berlin 1868, Ianke n 8."
113665946,"Gesammelte Erzählungen. 3 Bde. 8. (839) Iena 1874, Costenoble. 13.50"
113665946,"Im Labyrinth der Welt. 3 Bde. 8. (1082) Berlin 1879, Ianke. n 15."
113665946,"In der letzten Stunde. Ein Schloss und kein Herz. Goldene Ketten. Nov. 8. (276) Leipzig 1879, Schulze & Co. n 4."
113665946,Lebende Bilder. Nov. 1880.
113665946,"Luftschlösser. Rom. 3 Bde. 8. (1104) Berlin 1882, Ianke. 14."
113665946,"Moderner Roman in Briefen. 3. Aufl. 8. (299) Leipzig 1880, Schulze & Co. n 4., geb. n 5."
113665946,"Neue Novellen. 3 Bde. 8. (665) Göttingen 1860, Wigand. 9."
113665946,"Neue Novellensammlung. 8. Dresden 1875, Baensch. n 6."
113665946,"Novellen. 2 Bde. 8. (529) Göttingen 1858, Wigand. 6."
113665946,"Schwarz auf Weiss. Nov. 8. (192) Berlin 1892, R. Lesser. 1.50"
113665946,"Victoria Concordia. Nov. 8. (172) Leipzig 1879, Schulze & Co. 1.20"
124404529,"Annas und Fridas Briefwechsel. 8. (135) Dresden 1872, Naumann. n 1.80"
124404529,Aus der Geschichte. Für Kinder erzählt. Mit 6 (chromolith.) Bldn. 8. (303) Ebda. 1874. n 4.
124404529,"Die Waldfrau. Blumenmärchen. 16. (105 m. 4 kolor. Steintaf.) Altona 1862, Uflacker. kart. 1.80"
124404529,"Gute Kameradschaft. Erzhlgn. für Kinder, 16. (178 in 9 L.) Berlin 1868, Winkelmann & Söhne. 1.80"
124404529,"Im Forsthaus. 8. (208) Leipzig 1875, Hirt & Sohn. 3."
124404529,"Iohannes erster Ausflug aufs Land. 16. (88) Berlin 1870, Winkelmann & Söhne. geb. 1.20"
124404529,Kinder-Geschichten. Mit 12 (lith. und kol.) Bildern. 16. (70) Ebda. 1855. kart. 1.50
116214678,Elisabeth. Erzählg. für junge Mädchen. 8. (133 m. 4 Chromol.) Stuttgart 1888. Südd. Verlags-Institut. n 3.
116214678,"Erinnerungsblätter aus dem Leben einer deutschen Frau. 8. (142) Köln 1887, A. Ahn. n 2."
116214678,"Feldblumen. Ein Novellenstrauss. 3 Bde. 8. (910) Leipzig 1872, M. Schäfer. 13.50"
116214678,"Lebensmosaik. Nov. 2. Aufl. 8. (191) Stuttgart (1878) 1881, Hallberger. n 3., geb. 4."
116214678,"Licht und Schatten. Erzhlg. 3 Bde. Früher: Hinricus Fischer Nachf. Norden, jetzt Dresden, Gerh. Kühtmann."
1183333269,"Haus u. Welt. Bilder aus des Lebens Mai. E. Fortsetzg. der »Mädchenlose«. 8. (211 u. 4 H.) Leipzig 1883, Hirt & Sohn. 2.50; geb. 4."
1183333269,"Im Kampfe des Lebens. Eine Geschichte aus dem amerikan. Leben. Nach d. engl. Erzählg. »Die Mädchen von Quinnebasset v. S. May,« f. d. deutsche Iugend bearb. 2. Aufl. 8. (174 m. Abbildgn.) Ebda. 1890. 3.50; geb. 5."
1183333269,In gutem Geleit. Denku. Merkbüchlein für alle Tage des Iahres. 8. (222) Ebda. 1895. geb. in Leinwd. m. Goldschn. 4.
1183333269,Knospen u. Blüten. Bilder aus des Lebens Mai. Erzählgn. f. junge Mädchen. 2. Aufl. 8. (176 m. 1 Bild.) Ebda. 1893. 2.25; geb. 3.50
1183333269,Liebe um Liebe. N. d. Franz. von I. Colomb. 8. (223) Ebda. 1889. 4.50; geb. 6.
1183333269,"Luise, Königin von Preussen. E. Lebensbild, deutsch. Frauen u. Mädchen gewidmet. 8. (47 m. 7 Abbildgn.) Breslau 1897, F. Hirt. .35; geb. 1."
1183333269,"Mädchenlose. Bilder aus des Lebens Mai. 2. Aufl. 8. (200 m. Illustr.) Leipzig 1888, Hirt & Sohn. 2.50; geb. 4."
1183333269,"Miriam, das Zigeunerkind. Nach I. Colombs Werk: La fille des Bohémiens. Für d. deut. Iugend bearb. 2. Aufl. 8. (224 m. Abbildgn.) Ebda. 1892. 4.50; in Leinwd. geb. 6."
118651072,"Anleitung zur Blumenmalerei in Öl, Aquarell, und Deckfarben. 8. (29) Dresden 1890, Leipzig, Levien. n 1."
118651072,"Die ethische Seite der Frauenfrage. 12. (35) Minden 1893, W. Köhler. n .60"
118651072,"Gesegnete Mahlzeit, Kochanleitung. 8. (40) Dresden 1892, Volksbücher-Verlag M. Fischer. bar .80"
118651072,"Pflege deine Blumen. 8. (32) Ebda. 1892, bar .20"
118651072,Untersuchungen über Praxis und Entstehung der Volksvertretung in England. Inauguraldissertation. München 1897.
118651072,Wie kleide ich mich? Prakt. Anleitung zur gesundheitsgemässen und geschmackvollen Kleidg. f. Iedermann. 8. (32) Dresden 1893. Volksbücher-Verlag M. Fischer. .30
14386498X,"Proben weibl. Handarb. mähr, ländl. Hausindustr., mit 3 Vorträgen über mähr. Hausindustrie v. A. Walter, F. Kerschner u. E. B., Fol. (7. 26 Lichtdr.-Taf.) Brünn 1885, Mähr. Gewerbe-Museum. nn 20."
1034664581,"Allerlei Körnlein. Festu. Gedenkbüchlein, 2. Aufl., 12. (125) Wolfenbüttel 1889, Zwissler. n 1.50, geb. n 2.40"
1034664581,"Die Familie Iustin. 8. (181) Glogau 1889, Flemming. geb. 3."
1034664581,"Die Pflegegeschwister. Erzählg. 16. (279) Wolfenbüttel 1874, Zwissler. n 3."
1034664581,"Dasselbe. Volksausg., 12. (279) Ebda., 1883. n 1."
1034664581,"Erzählungen aus der rhein. Geschichte, 1883."
1034664581,"Frühlingsblumen, Skizzen und Märchen. 2. Aufl., 16. (190) Wolfenbüttel 1878, Zwissler. geb. n 3.60"
1034664581,"Dasselbe. Volksausg., 12. (190 m. 1 Chromolith.) Ebda., 1883. n 1."
1034664581,"Tannenburg. Erzählg., 16. (331) Ebda., 1876. n 4., geb. n 5."
1034664581,"Dasselbe. Volksausg. 12. (331) Ebda., 1883. n 1."
1034664581,"Verwaist. Zwei Nov., 16. (323) Braunschweig 1874, Zwissler. n 4."
117764558,"Les Vaters Schuld. Rom. 8. (300) Berlin 1881, Le Coutre. 5..2. Aufl. 1882. 2."
117764558,"Elfriede. Rom. a. d. vollen Gegenwart. 8. (320) Berlin 1881, Le Coutre. 5. 2. Aufl. 1882. 2."
117764558,"Nationale Gegensätze. Rom. 2 Bde., 8. (567) Iena 1875, Costenoble. 9."
117764558,"Zerrissene Fäden. Rom. Breslau 1881, Schottländer. 10."
117764574,"Arsent. Drama, 8. (103) Glarus 1893, Schweiz. Verl. Anst. 2."
117764574,Der diplomatische Hofmarschall. Lustsp. U. d. Presse.
117764574,"Iulie Bondeli u. Wieland. Drama, 8. (32) Bern 1884, Nydegger & B. n .80"
117764574,"Lady Kyme. Drama in 5 Akt., 8. (96) Grüningen 1895, I. Wirz. n 2."
117764574,"Novellen aus Künstlerkreisen u. harmlose Erzählungen aus der Bundesstadt, 8. (247) Glarus 1893, Schweiz. Verl.-Anst. 3."
117764574,Wieland u. Iulie. Drama. 2. Aufl. 8. (102) Ebda. 1894. 2.
1021050482,"Die Liebe suchet nicht das Ihre. Eine Erzählg. f. die Iugend, 2. Aufl., 12. (42) Basel 1885, Spittler. n .50"
1021050482,"Die Weihnachtsfeier in Haus u. Schule. 3. Aufl., 8. (29 m. 1 Abbildg.) Basel 1896, Iaeger & Kober. n .30"
1021050482,"Marthas Weihnachtsfest. 5. Aufl., 12. (38) Basel 1884, Spittler. n .20"
1021050482,"Mathildens Genesung. Eine Erzählg. aus e. Kinderspital. 5. Aufl., 12. (29) Ebda. 1884. n .20"
1021050482,"Rudolfs Geburtstags-Geschenk, Erzählg. f. jung u. alt, 4. Aufl., 12. (61) Basel 1893, Iaeger & Kober. n .30"
1021050482,Schule u. Leben. Erzählg. a. d. Gegenwart. 3. Aufl. 12. (119) Ebda. 1893. n .65
1021050482,Sieg der Liebe. Zwei Bilder aus dem Leben. (Iohanna u. Gretchen. Der reiche Ersatz.) 5. Aufl. 12. (46) Ebda. 1892. n .20
1021050482,Unter einem Dach. Erzählg. f. d. Iugend. 2. Aufl. 12. (56) Basel 1885. Spittler. n .50
1021050482,"Zweierlei Wasser. Ein Bild a. d. Leben e. jungen Mädchens. 3. Aufl., 12. (48) Ebda. 1884. n .25"
1046073117,"Gute Kameraden. Erzählg. 8. (200) Dresd. 1896, E. Pierson. 3., geb. 4."
181997142,"Luc Aufrancs Weg zum Glücke. Erzählg. a. d. Iura. Aus d. Franz. 8. (248) Ebda. 1886. n 2.50, geb. n 3.50"
181997142,"Monsieur Vélo. Herkules Geheimnis. Doktor Iob. Drei Nov. a. d. Iura. Üb. des Werkes v. T. Combe. Aus d. Franz. 8. (200) Wolfenbüttel 1887, Zwissler. n 2., geb. 3."
181997142,"Raeburns Tochter. (We two) Üb. des Werkes v. Edna Lyall. Aus dem Engl. 2. Aufl. 8. (405) Leipzig 1896, G. Wigand. 5., geb. 6."
116046554,"Das Christkind. Weihnachtsfestspiel. 12. (14) Paderborn 1896, Iunfermann. .25"
116046554,"Im deutschen Märchenwalde. Lebende Bilder mit verbind. Text. 8. (20) Paderborn 1898, F. Schöningh. .75"
116046554,"Königin Louise. Vaterländ. Festsp. m. leb. Bildern. Mühlhausen i. Th. 1898, G. Danners Verlag. 1."
116046554,Lissas Christfest. Komödie. Nach einem englischen Motiv. 2. Aufl. 8. (34) Ebda. 1898. .75
116769998,"Aus der Töchterschule ins Leben. Ein allseit. Berater f. Deutschlands Iungfrauen. Unter Mitwirkg. hervorrag. Kräfte herausgegeben. Mit 1 Titelbild von Eman. Spitzer. 9. Aufl. 8. (XII, 442) Stuttgart 1897. Deutsche Verlags-Anstalt. geb. 6."
116769998,Der Mutter Tagebuch. Aufzeichngn. über die ersten Lebensjahre ihres Kindes. Mit Bildern v. Ludwig v. Kramer. 8. (150) Stuttgart 1893. K. Thienemann. geb. in Leinw. n 12.
116769998,"Die kleine Feuerwehr, m. Bildern v. F. Flinzer. 4. (24 m. Illustr. u. 8 farb. Taf.) Stuttgart 1892, G. Weise. kart. 2.50"
116769998,"Ins eigene Heim. Ein Buch für erwachsene Mädchen u. junge Frauen. Unter Mitwirkg. bewährter Kräfte. 8. Aufl. 8. (VIII 416) Stuttgart 1893, Deutsche Verlags-Anstalt, geb. in Leinw. m. Goldschn. n 6."
1031202307,In traulichen Stunden. Erzählg. f. d. junge Welt. Mit 4 Chromos. 8. (216) Berlin 1894. H. I. Meidinger. geb. 3.
116008512,"Durch Gott zu Gott. Nov. Halle a. S. 1883, Iulius Fricke. 2.75"
116008512,"Illustriertes Germania-Kochbuch. 8. (485) Frankfurt a. O. 1896, H. Andres & Co. geb. n 4."
116008512,"Um einen ew'gen Kranz, dies arme Leben ganz. Nov. 8. (420) Halle a. S. 1880, Iulius Fricke. 4."
117766429,Ein Abend unter Freimaurern. 1893. Ebda.
117766429,Franz Iosef I. 1889. Bondy.
117766429,"Gefesselt. Gedichte. 8. (78) Wien 1882, Leutgeb. n 1."
117766429,Geprüft und bewährt. Bondy.
117766429,Hergestellt. Epische Gedichte. Ebda.
117766429,Liebesopfer. 1884. Selbstverlag.
117766429,Marienkäferchen. Bondy.
117766429,"Soldatenfritz. Nov. 1881. Wien, Weizner."
117766429,Stiefmütterchen. Erzählg. 1892. Bondy.
117766429,Unser Kaiser im Liede. Ebda.
117766429,Wahn und Aberglaube. Erzählg. 1890. Ebda.
1314717421,"Ein Beispiel für mündl. Erteilung neusprachlichen Unterrichts ohne Hilfe der Muttersprache (Vorstufe) in Dorpat II. Semester 1891. 8. (56) Berlin, L. Oehmigke. (Für Russland: Riga, A. Stieda.) n 1."
1314717421,"Ernährung des Säuglings nach Anweisung von Abelin-Stockholm. Dem internationalen Frauenkongress in Berlin dargebracht. 8. (16) Dorpat 1896, E. I. Karow in Komm. n .60"
116050411,"Apsara.  Zwischen Lipp' u. Kelchesrand. Nov. 8. (231) Dresden 1890, Pierson. n 3., geb. n 4."
116050411,"Im Banne d. Unterberges. Erzählg. aus dem 17. Iahrh. 8. (354) Wien 1887, Konegen. n 4."
116050411,"Mammon. Rom. in 3 Büchern. 8. (180) Köln 1897, A. Ahn. n 2., geb. bar n 3."
116051604,Arbeit adelt. 1896.
116051604,Aus der russischen Gesellschaft. 1887.
116051604,Der neue Montechristo. 1891.
116051604,"Gebrochene Herzen. Nov. 8. (192) Leipzig 1877, Hoffmann & Ohnstein. n 3., geb. n 4."
116051604,"Genrebilder aus dem jüdischen Familienleben. 16. (84) Prag 1895, I. B. Brandeis. bar n .20"
116051604,"Gerächt, doch nicht gerichtet. 1884."
116051604,"Ihr Schwiegersohn. Rom. 8. (158) Wien 1896, M. Breitenstein. n 2."
116051604,Lebensbilder. 1881.
116051604,Mann zweier Frauen. 1885.
116051604,Verkaufte Frauen. 1885.
116051604,Versöhnt. Rom. 1885.
116051604,Wandlungen. 1895.
117767115,"Dasselbe. 2. u. 3. Bd. (600) Hannover 1878, Meyer. à n 2.60"
117767441,"Seelenblicke. 16. (159) Speyer 1876, Kleeberger. n 3."
1207571261,Deutscher Frauenkalender für das Iahr 1898. U. d. Presse.
1207571261,"Handwerk u. Philosophie, Herrn Karl Erdmann, Mitarbeiter der Kunstwart gewidmet. 8. (19) Kochem 1892. C. F. Wieprechtsche Buchdr. n .50"
1207571261,"Verschüttet. Dichtg., 1894."
1207571261,"Zur deutschen Frauenbewegung. 8. (16) Kochem 1896, Wieprechtsche Buchdr. n .30"
1207775800,"Die Brixer Malerschule des XV. Iahrh., Studien aus: »Kunstfreund«, Lex. 8. (13 m. 1 Abbildg.) Bozen 1895, A. Auer & Co. n .50"
