identifier,surname,prename,name_complete,place_of_birth,place_of_death,date_of_birth,date_of_death,biography,bibliography,alternative_names,alternative_biography,alternative_bibliography,wohnort_1,wohnort_2,wohnort_3,wohnort_4,wohnort_5,wohnort_6,wohnort_7,wohnort_8,wohnort_9,wohnort_10,wohnort_11,wohnort_12,wohnort_13,wohnort_14,wohnort_15,wohnort_16,wohnort_17,wohnort_18,Sprache,Sprache_2,Sprache_3,Sprache_4,Sprache_5,Sprache_6,Sprache_7,Sprache_8
1035485036,Adelmann,Margaretha,Adelmann Margaretha,.,.,1811,1887,"Adelmann, Margaretha. Erinnerungen an Kissingen u. seine Umgebung. 16. (64 m. Steintaf. in Tondr.) Würzburg 1864, Kellner. kart. m. Goldschn. 1.50.","‒ Gedichte, hrsg. v. Karl Schrattenthal. 2. bedeutend verm. Aufl. 12. (VI, 102) Dresden 1889, Pierson. n 1.50 ‒ Gedichte. 12. (224) Leipzig 1844, Brockhaus. n 4.–",Adelmann Margarete,"Adelmann, Margarete, geboren am 3. November 1811 zu Würzburg, gestorben den 12. November 1887 ebendaselbst. Werke s. Band I. S. 3.",.,Kissingen,Stein,Würzburg,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1055113584,Adelmi,Mario,Adelmi Mario,.,.,1847,.,"Adelmi, Mario, Biographie s. Melanie Steinrück.","‒ Badenweiler Novellen. 2 Bdchn. Der erste Badegast. Die Wette. 8. (94) Schopfheim 1882, Uehlin. n 1.50 ‒ Badegast. 1. Bdchen der Badenweiler Nov. Gebrüder Knauer, 1883. Frankfurt a/M· n 1.50 ‒ Der Wahnsinnige. Nov. 2. Aufl. 8, (252) Bonn. 1884 Peter Hauptmann. n 3.–",Steinrück Melanie;.;.,"Ps. Mario Adelmi, Nürnberg, Hauptmarkt 2, geboren am 10. Juli 1849 in Leipzig. Ihr Vater war der Versicherungsdirektor Schultze, ihre Mutter eine geborne Französin. Als Kind lernte sie französisch und englisch. Nach dem Tode des Vaters zog die Mutter nach Basel; Melanie konnte sich jedoch in die dortigen Verhältnisse nicht eingewöhnen und fühlte sich sehr unglücklich. Auf ihr Bitten verlegte ihre Mutter den Wohnsitz nach Freiburg in Breisgau. Nachdem Melanie kürzere Zeit als Erzieherin wirkte, wurde ihr die Stelle als Vorsteherin der Bassinbäder in Badenweiler angeboten, die sie annahm und 10 1/ 2 Iahr innehatte. Sie verheiratete sich mit dem Zeitungsherausgeber Steinrück in Freiburg i. B. Anfänglich war die Ehe sehr glücklich. Das Verhältnis änderte sich aber nach der Übersiedelung nach Nürnberg und nun geht die Ehe nach dreizehnjährigem Bestande ihrer Auflösung entgegen. Das einzige Kind aus dieser Ehe, ein hochbegabter elfjähriger Knabe, verbleibt der Mutter. M. St. verfasste schon als Kind, meist auf dem Schulweg, ihre ersten Gedichte. Ihre erste Novelle: »Miss Alice« schrieb sie in Freiburg. Dieselbe erschien im Oberrheinischen Kurier. Bis zu ihrer Verheiratung hat sie gegen zwanzig grössere Romane und Novellen geschrieben. Ein Lustspiel: »Emil Wilfried« aus ihrer Feder gelangte 1886 am Nürnberger Stadttheater zur Aufführung. Die unerquicklichen Eheverhältnisse verhinderten sie zu schreiben und so ruhte die Feden 10 Iahre lang. Erst vor drei Iahren begann sie ihre litterarische Thätigkeit von neuem. Ihr »König Drosselbart«, eine Kinderkomödie, fand während der letzten zwei Iahre am Nürnberger und Fürther Stadttheater eine Reihe von Aufführungen. Eine weitere Märchendichtung: »Der geraubte Werke s. Mario Adelmi.",.,Stein,Stein,Freiburg,Fürth,Badenweiler,Rom,Basel,Leipzig,Nürnberg,Rom,Freiburg i. B,.,.,.,.,.,.,.,.,Französisch,Englisch,.,.,.,.,.
1030040192,Adelung,Friederike,Adelung Friederike,Stettin,.,1783-11-02,.,"Adelung, Friederike, Ps. Klara, geboren am 2. November 1783 zu Stettin.",.,.,.,.,Stettin,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
116007664,Adelung,Sophie von,Adelung Sophie,Stuttgart,Stuttgart,1850-03-11,1927-06-15,"Adelung, Sophie von, früheres Ps. S. Aden, Stuttgart, Keplerstrasse 22, schrieb für Zeitschriften: »Ein Vorläufer Leo Tolstois«, »Jugenderinnerungen an Sophie Kowalewska«. Ausserdem ist sie Mitarbeiterin der Zeitschriften: »Die Frau«, »Fürs Haus«, »Die Wahrheit«. Werke s. auch Band I.","‒ Das graue Fräulein auf Scharfenstein. Hessische Volkssage. Lustsp. 8. (64) Ravensburg 1897, O. Maier. –.80 ‒ Der verzauberte Königssohn. Märchensp. 8. (64) Ebda. 1897. –.80",.,.,.,Stuttgart,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
121730026,Adler,Emma,Adler Emma,Debrecen,Zürich,1858-05-20,1935-02-23,"Adler, Emma. Buch der Jugend, für die Kinder des Proletariats, hrsg. v. E. A. 8. (VIII, 232) Berlin 1895, Buchh. d. Vorwärts. Geb. in Leinw. bar n 2.–",.,.,.,.,Berlin,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
11646853X,Adler,Frl. Helene,Adler Helene,.,.,1849,1922,"Adler, Frl. Helene, Frankfurt a. M., Scheidswaldstr. 30, wurde am 5. Dezember 1849 zu Frankfurt a. M., an klassischer Stätte, im Geburtshause Börnes geboren, dem Eigentum ihres Vaters, eines Unterbeamten der israelitischen Gemeinde. Bis Ostern 1865 besuchte sie die sogenannte »Philantropine« einschliesslich deren Selekta, bestand zwei Jahre darauf in Wiesbaden das Lehrerinnenexamen für höhere Töchterschulen und erteilte dann bis zur Auflösung der Anstalt fünfzehn Jahre hindurch den Elementarunterricht an der Waisenschule des israelitischen Frauenvereins zu Frankfurt. Seit dieser Zeit (1882) hält sie sich in Rücksicht auf ihre Gesundheit von jeder Lehrthätigkeit fern und lebt gänzlich ihren litterarischen Neigungen in ihrer Vaterstadt.","‒ Beim Kuckuck. Launige zoopoetische Waldgesänge. Gedichte. 8. (196) Frankfurt a. M. 1882, N. Erras, jetzt Gebr. Staudt. n. 1.80 geb. 2.60 ‒ Religion und Moral. Ein Beitrag zur Erziehungsfrage vom Standpunkte der Schopenhauerschen Ethik. 8. (23) Gotha 1882, Stollberg. n –.40 ‒ Vorreden und Bruchstücke. Eine poetische Musterkarte, Gedichte. 8. (126) Frankfurt a. M. 1897. Gebr. Staudt. 1.– ‒ Waisenerziehung. Broschüre. 8. (25) Frankfurt a. M. 1885, N. Erras, jetzt Gebr. Staudt. n. –.50",Adler Helene;.;.,"»Fridde uff Erde!« Ääne Gardinepreddigt v. Settche Hampelmann, Borgersfrää in Frankfort am määan. Die 6 Grossmächt in ohrjendalisch-ochsidendalische Ungelegenheite. 8. (15) Frankfurt a. M. 1897, Gebr. Staudt. –.30 Siehe auch Band I.",.,Frankfurt a. M.,Wiesbaden,Frankfurt a. M.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
127627510,Adolphine,Tante,Adolphine Tante,.,.,1829-07-24,1897,"Adolphine, Tante, Biographie s. A. Breithaupt.","‒ Kochbuch für kleine u. grosse Mädchen zur neuen Weihnachtsküche. 8. (VIII, 58) Chemnitz 1893, B. Richter. kart. n –.80 ‒ Dasselbe. 8. (58) Ebda. 1893. kart. n 1.– ‒ Neue Märchen u. Erzählgn. für jugendliche Leserinnen. br. 8. (288) Leipzig 1846, Brockhaus. n 2.40",Breithaupt Adolphine;.;.,"Breithaupt, Adolphine, Ps. Adolphine und Tante Adolphine, geboren am 24. Juli 1829 in Neuruppin, schrieb zumeist Jugendschriften und wohnte in Charlottenburg. Sie ist 1897 gestorben. Werke s. auch Tante Adolphine.","‒ Das goldene Buch der Frau. Ein Freund u. Berater in allen Verhältnissen des Lebens. 8. (180) Chemnitz 1894, B. Richters Verl. geb. in Leinw. 3.– ‒ Der deutschen Jugend frohe Stunden. Märchen, Lieder u. Geschichten f. Knaben u. Mädchen. 8. (162 m. e. Farbendr.) Borna, 1890, Leipzig, A. Iahnke geb. 3.– ‒ Die deutsche Frau in Küche und Keller. Kochbuch. 8. (367) Chemnitz 1892, B. Richter. geb. n 4.–, auch in 10 Lfgn. à –.30 ‒ Die Feldküche nach neuer Reform. Ein Handbuch f. den deutschen Soldaten im Quartier, Bivouac u. Felde, sowie f. Garçons, Touristen u. Iäger. 8 (157) Berlin 1884, Stahn. In Leinw. kart. n 2.– ‒ Mutterpflicht u. Kindespflege. Weihegeschenk aus Mutterhand f. Deutschlands Frauen u. Bräute. 8. (168) Berlin, Chemnitz 1882, B. Richter, geb. in Leinw. n 3.– ‒ Wie wird sie ihn finden? Rom. aus der Neuzeit, e. Begebenheit nacherzählt. 8. (252) Chemnitz 1895, Ebda. 3.–, geb. n 4.–;.;.",Neuruppin,Charlottenburg,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
101876240X,Agnes,Pauline Luise Agnes,Agnes Pauline Luise Agnes,Carlsruhe (Oberschlesien),Gera,1835-10-13,1886-07-10,"Agnes, Pauline Luise Agnes, Fürstin Reuss j. L., s. Angelica Hohenstein. Band I.",.,Hohenstein Angelica;.;.,"Pseudonym für Agnes Fürstin Reuss j. L., geboren den 13. Oktober 1835 zu Karlsruhe, gestorben den 10. Juli 1886 auf Schloss Osterstein bei Gera.","‒ Aus schönen Stunden. Acht Bilder. 16. (224) Gütersloh 1878, Bertelsmann. n 2.– ‒ Der Segen der Grossmutter. (Familienbild.) 2 Bde. 1880. ‒ Helene. Erzählg. 1867.",Schloss Osterstein,Gera,Karlsruhe,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
116145110,Agnes,Tante,Agnes Tante,Coburg,.,1828,1899,"Agnes, Tante. Harmlose Geschichten. 8. (82) Hannover 1893, H. Feesche. kart. bar n –.75",.,.,.,.,Hannover,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
116009764,Ahlborn,Luise,Ahlborn Luise,.,.,1834-03-14,1921-07-30,"Ahlborn, Luise, Biographie u. Werke s. L. Haidheim.",.,Ahlborn Luise;.;.,"geb. Jaeger, Ps. L. Haidheim, Hannover, geboren den 14. Mai 1834 zu Melle in Osnabrück als Tochter eines Justizbeamten, wurde von ihrem talentvollen Vater und von Hauslehrern unterrichtet. Schon als Kind fühlte Luise einen unwiderstehlichen Drang zum Dichten und Fabulieren, aber erst in den reiferen Iahren entstanden ihre grösseren Romane. Im Iahre 1855 vermählte sie sich mit dem Gutsbesitzer und Oberamtmann Ahlborn, welcher jedoch bald starb. Als Witwe siedelte sie nach Hannover über. Werke s. L. Haidheim. Band I.",.,Melle,Rom,Hannover,Osnabrück,Rom,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
118962590,Ahlefeld,Charlotte von,Ahlefeld Charlotte,.,.,1781-12-06,1849-06-27,"Ahlefeld, Charlotte von, geb. von Seebach, Ps. Natalia und Elise Selbig, geboren am 6. Dezember 1781 zu Stedten bei Weimar, gestorben am 27. Juli 1849 zu Teplitz.",.,Selbig Elise;Selbig Natalie;.;.,s. Charlotte v. Ahlefeld. (Nachtrag.);s. Charlotte v. Ahlefeld. (Nachtrag.);.;.,.,Teplitz,Stedten,Weimar,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1035567520,Ahlefeldt,Henriette,Ahlefeldt Henriette,Hamburg,Hamburg,1805,1870,"Ahlefeldt, geb. Manssen, Henriette. Feld-Blumen. Gedichte. 8. (48) Hamburg 1842, Nestler & Melle. bar –.65",.,.,.,.,Melle,Hamburg,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1035571773,Airoldy,Baronin Emilie,Airoldy Emilie,Wien,Mailand,1837,1900,"Airoldy, Baronin Emilie. Marie. Eine Erzählg. f. Mädch. v. 14–16 Jahr. 16. (180) Wien, Faesy & Frick. kart. n 3.20",.,.,.,.,Wien,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
155409921,Akermann-Hasslacher,Frau Bertha,Akermann-Hasslacher Bertha,Wolfegg,.,1840-12-05,1904,"Akermann-Hasslacher, Frau Bertha, Stuttgart-Berg, wurde am 5. Dez. 1846 zu Wolfegg in Oberschwaben als Tochter eines dortigen Oberlehrers geboren und nach siebenjährigem Besuch der Volksschule in dem Töchterpensionat des Klosters Wurmsbach bei Rapperswyl am Zürcher See weiter ausgebildet. Im Mai 1868 verheiratete sie sich mit dem Chirurgen und Bade-Inspektor Akermann in Bad Berg, der ihr im März 1895 durch den Tod wieder entrissen wurde. Im Herbst 1873 lernte sie den Schriftsteller Grafen Stanislaus Grabowsky kennen, dessen Anregung sie ihre litterarische Thätigkeit verdankt. Ausser den angegebenen, in Buchform erschienenen Werken verfasste sie zahlreiche Novellen, Romane, Humoresken für illustrierte Zeitschriften von Greiner & Pfeiffer Stuttgart, Hausfreund, Bern, Sterne und Blumen, Karlsruhe. Ein Festspiel »Der Traum des Landwehrmannes« wurde zur 25jährigen Erinnerung an den deutsch-französischen Krieg an verschiedenen süddeutschen Theatern aufgeführt.","‒ Die Braut der Rebellen. Rom. aus dem Ital. 16. (344) Waldsee 1879, Liebel in Comm. bar 1.– ‒ Im Irrenhaus begraben. (1887) 2. Aufl. 1890. ‒ Rächet euch nicht. Schausp. 8. (84) Stuttgart 1881, Greiner & Pfeiffer.",.,.,.,Bad Berg,Bern,Grabow,Stuttgart,Rom,Rapperswyl,Wurmsbach,Wolfegg,Karlsruhe,Rom,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
118878484,Al Raschid Bey,Madame,Al Raschid Bey,Weimar,Augsburg,1859-11-22,1940-03-26,"Al Raschid Bey, Madame, Ps. Helene Böhlau, München, Kaulbachstr. 62, geboren den 22. November 1859, ist die Tochter des bekannten Verlagsbuchhändlers Hermann Böhlau in Weimar. Obwohl wegen langer, dauernder Kränklichkeit dem Schulbesuch entzogen, erhielt sie eine äusserst sorgfältige Bildung und Erziehung. Die lebensvollen Erzählungen ihrer Grossmutter aus der Goethe-Zeit, »der goldenen Tage von Weimar«, sowie die freundliche Teilnahme, welche Walther von Goethe und Friedrich Preller ihr widmeten, verklärten die Mädchenträume ihrer Kindheit und erfüllten ihre Seele mit Thaten. Sie machte Reisen in Deutschland und Italien Werke s. Helene Böhlau.",.,Böhlau Helene;Böhlau Helene;.;.,"Biographie s. Madame Al Raschid Bey.;Verspielte Leute. Stuttgart 1898, I. Engelhorn. –.50 Biographie u. Werke s. Band I.;.","‒ Altweimarische Liebesund Ehegeschichten. Stuttgart 1897, I. Engelhorn. –.50 geb. –.75 ‒ Das Recht der Mutter. Rom. 8. (377 m. Bildnis) Berlin 1896, F. Fontane & Co. n 6.–. ‒ Der Rangierbahnhof. Rom. 2. Aufl. 8. (318) Ebda. n 4.–; geb. 5.– ‒ Der schöne Valentin. Die alten Leutchen. 2 Nov. 8. (286) Berlin 1886, Paetel. n 5.–; geb. nn 6.50 ‒ Herzenswahn. Rom. 8. (180) Minden 1888, Bruns n 3.60 ‒ Im Trosse der Kunst u. andere Nov. 8. (240) Ebda. 1889. n 3.60; geb. n 4.60 ‒ In frischem Wasser. Rom. in 2 Bdn. 8. (286) Stuttgart 1891, I. Engelhorn. à n –.50; geb. à n –.75 ‒ Novellen. (Im Banne des Todes. Salin Kaliske. Maleen.) 8. (309) Berlin 1882, Hertz. n 5.–; geb. n 6.– ‒ Ratsmädelgeschichten. 4. Aufl. 8. (VIII, 260 m. 1 Bildnis) Minden 1897, I. C. C. Bruns n 3.60; geb. n 4.60 ‒ Ratsmädel u. Altweimarische Geschichten. 8. (159) Stuttgart 1897, I. Engelhorn. –.50; geb. –.75 ‒ Reines Herzens schuldig. Rom. 8. (378) Minden 1888, I. C. C. Bruns. n 6.–;.;.",Weimar,München,Stuttgart,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
118729993,Albert,Annie,Albert Annie,.,"New York, NY",1866-04-14,1936-10-20,"Albert, Annie. Biographie und Werke s. A. Kistner.","‒ Lose Blüten. Kleine Bilder aus der grossen Welt. Neue (Titel-) Aufl. 16. (III, 96) Hamburg, Nestler & Melle (jetzt W. Otto, Hannover). n 2.–, herabgesetzter Pr. –.60 ‒ Harte Gesetze. 8. (IV, 448) Stuttgart 1875, Metzler (jetzt W. Otto, Hannover). n 5.–, herabgesetzter Pr. 1.50",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1228555303,Alberti,Friederike,Alberti Friederike,Neubrandenburg,Neubrandenburg,1842-12-10,1928-03-14,"Alberti, Friederike, s. Franziska Abel. Nachtrag.",,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
116279028,Alberti,Sophie,Alberti Sophie,Potsdam,Potsdam,1826-08-05,1892-08-15,"Alberti, Sophie, geb. Mödinger, Ps. Sophie Verena, geboren am 5. August 1826 zu Potsdam, gestorben am 15. August 1892 in ihrer Geburtsstadt. Werke s. Sophie Verena. Band II.",,.,.,.,Potsdam,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
101046588,Alexandra,Amalia,Alexandra Amalia,Aschaffenburg,München,1826-08-26,1875-05-08,"Alexandra, Amalia, Prinzessin von Bayern, geboren am 26. August 1826 in Aschaffenburg, gestorben den 8. Mai 1875 in München. Werke s. Band I. Unter diesen ist: »Verträumte Stunden« zu streichen.",‒ Feldblumen. Erzählg. 1856. ‒ Weihnachtsrosen. Erzählg. 1858.,Alexandra Amalie;.;.,"Bayern, Alexandra Amalie, Prinzessin von, geboren den 26. August 1826 zu Aschaffenburg, gestorben den 8. Mai 1875 in München.",‒ Feldblumen. Erzählg. 1856. ‒ Weihnachtsrosen. Erzählg. 1858.,Aschaffenburg,München,Aschaffenburg,München,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
117760838,Algenstädt,Luise,Algenstädt Luise,Wattmannshagen,Güstrow,1861-05-08,1947-05-26,"Algenstädt, Luise. Weibliche Schranken. Leipzig 1894, Reinhold Werther. –.75",.,.,.,.,Leipzig,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
116226099,Alice,Tante,Alice Tante,Jelgava,Dorpat,1840-11-28,1923-10-10,"Alice, Tante, Biographie s. M. v. Boettcher.","‒ Im Morgensonnenschein. Erinnerungen aus frohen Kindertagen. 1887. ‒ Kleine Schelme. Lustige Geschichten aus dem Familienleben der Baltischen Lande, 1884.",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1076742890,Allan,George,Allan George,Greifswald,Berlin,1852-01-04,1916-07-18,"Allan, George, Biographie und Werke s. Mite Kremnitz.",,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
